,village_name,district_name,population
178,Bratislava - Podunajské Biskupice,Bratislava II,22231
179,Bratislava - Rača,Bratislava III,23904
180,Bratislava - Rusovce,Bratislava V,4133
181,Bratislava - Ružinov,Bratislava II,73872
182,Bratislava - Vajnory,Bratislava III,5957
183,Bratislava - Vrakuňa,Bratislava II,20120
184,Bratislava - Záhorská Bystrica,Bratislava IV,6014
185,Braväcovo,Brezno,688
186,Brdárka,Rožňava,63
187,Brehov,Trebišov,599
188,Brehy,Žarnovica,1040
189,Brestov,Humenné,625
190,Brestov,Prešov,448
191,Brestov nad Laborcom,Medzilaborce,102
192,Brestovany,Trnava,2655
193,Brestovec,Myjava,998
194,Brestovec,Komárno,475
195,Bretejovce,Prešov,427
196,Bretka,Rožňava,395
197,Breza,Námestovo,1631
198,Brezany,Žilina,651
199,Brezany,Prievidza,651
200,Brezina,Trebišov,649
201,Breziny,Zvolen,378
202,Breznica,Stropkov,840
203,Breznička,Stropkov,122
204,Breznička,Poltár,743
205,Brezno,Brezno,20889
206,Brezolupy,Bánovce nad Bebravou,522
207,Brezov,Bardejov,368
208,Brezová pod Bradlom,Myjava,4768
209,Brezovec,Snina,42
210,Brezovica,Tvrdošín,1347
211,Brezovica,Sabinov,1716
212,Brezovička,Sabinov,411
213,Brezovka,Bardejov,113
214,Brežany,Prešov,190
215,Brhlovce,Levice,309
216,Brieštie,Turčianske Teplice,134
217,Brodno,Žilina,1316
218,Brodské,Skalica,2277
219,Brodzany,Partizánske,869
220,Brunovce,Nové Mesto nad Váhom,572
221,Brusnica,Stropkov,392
222,Brusník,Veľký Krtíš,119
223,Brutovce,Levoča,157
224,Bruty,Nové Zámky,592
225,Brvnište,Považská Bystrica,1218
226,Brzotín,Rožňava,1368
227,Buclovany,Bardejov,199
228,Búč,Komárno,1104
229,Bučany,Trnava,2362
230,Budatín,Žilina,1788
231,Budča,Zvolen,1341
232,Budikovany,Rimavská Sobota,59
233,Budimír,Košice-okolie,1249
234,Budiná,Lučenec,224
235,Budince,Michalovce,228
236,Budiš,Turčianske Teplice,196
237,Budkovce,Michalovce,1526
238,Budmerice,Pezinok,2406
239,Buglovce,Levoča,284
240,Buková,Trnava,655
241,Bukovce,Stropkov,529
242,Bukovec,Košice-okolie,834
243,Bukovec,Myjava,454
244,Bukovina,Liptovský Mikuláš,97
245,Bulhary,Lučenec,311
246,Bunde,Prešov,1306
247,Bunetice,Košice-okolie,92
248,Bunkovce,Sobrance,367
249,Bušince,Veľký Krtíš,1416
250,Bušovce,Kežmarok,301
251,Buzica,Košice-okolie,1217
252,Buzitka,Lučenec,503
253,Bystrá,Stropkov,23
254,Bystrá,Brezno,181
255,Bystrany,Spišská Nová Ves,3666
256,Bystré,Vranov nad Topľou,2698
257,Bystričany,Prievidza,1805
258,Bystrička,Martin,1479
259,Bytča,Bytča,11363
260,Bytčica,Žilina,2046
261,Bzenica,Žiar nad Hronom,604
262,Bzenov,Prešov,772
263,Bzince pod Javorinou,Nové Mesto nad Váhom,2110
264,Bziny,Dolný Kubín,582
265,Bzovík,Krupina,1165
266,Bzovská Lehôtka,Zvolen,130
267,Bžany,Stropkov,199
268,Cabov,Vranov nad Topľou,386
269,Cakov,Rimavská Sobota,335
270,Cejkov,Trebišov,1176
271,Cernina,Svidník,581
272,Cerová,Senica,1133
273,Cerovo,Krupina,591
274,Cestice,Košice-okolie,844
275,Cífer,Trnava,4370
276,Cigeľ,Prievidza,1258
277,Cigla,Svidník,68
278,Cimenná,Bánovce nad Bebravou,100
279,Cinobaňa,Poltár,2217
280,Čab,Nitra,798
281,Čabalovce,Medzilaborce,342
282,Čabiny,Medzilaborce,326
283,Čabradský Vrbovok,Krupina,232
284,Čadca,Čadca,23941
285,Čachtice,Nové Mesto nad Váhom,3905
286,Čajakovo,Levice,1476
287,Čajkov,Levice,948
288,Čaka,Levice,733
289,Čakajovce,Nitra,1161
290,Čakanovce,Košice-okolie,703
291,Čakanovce,Lučenec,1167
292,Čakany,Dunajská Streda,646
293,Čaklov,Vranov nad Topľou,2704
294,Čalovec,Komárno,1161
295,Čamovce,Lučenec,603
296,Čaňa,Košice-okolie,6056
297,Čaradice,Zlaté Moravce,490
298,Čáry,Senica,1301
299,Častá,Pezinok,2305
300,Častkov,Senica,571
301,Častkovce,Nové Mesto nad Váhom,1597
302,Čata,Levice,972
303,Čataj,Senec,1182
304,Čavoj,Prievidza,491
305,Čebovce,Veľký Krtíš,1083
306,Čečehov,Michalovce,385
307,Čečejovce,Košice-okolie,2157
308,Čechy,Nové Zámky,308
309,Čechynce,Nitra,1259
310,Čekovce,Krupina,451
311,Čeľadice,Nitra,1034
312,Čeľadince,Topoľčany,448
313,Čeláre,Veľký Krtíš,443
314,Čelkova Lehota,Považská Bystrica,146
315,Čelovce,Prešov,357
316,Čelovce,Veľký Krtíš,427
317,Čeľovce,Trebišov,554
318,Čemerné,Vranov nad Topľou,22245
319,Čenkovce,Dunajská Streda,1098
320,Čereňany,Prievidza,1730
321,Čerenčany,Rimavská Sobota,571
322,Čerhov,Trebišov,725
323,Čerín,Banská Bystrica,438
324,Čermany,Topoľčany,362
325,Černík,Nové Zámky,1045
326,Černina,Humenné,170
327,Černochov,Trebišov,193
328,Čertižné,Medzilaborce,334
329,Červená Voda,Sabinov,506
330,Červeňany,Revúca,44
331,Červeňany,Veľký Krtíš,44
332,Červenica,Prešov,1006
333,Červenica pri Sabinove,Sabinov,927
334,Červeník,Hlohovec,1709
335,Červený Hrádok,Zlaté Moravce,400
336,Červený Kameň,Ilava,686
337,Červený Kláštor,Kežmarok,223
338,České Brezovo,Poltár,464
339,Čičarovce,Michalovce,883
340,Čičmany,Žilina,123
341,Číčov,Komárno,1244
342,Čierna,Trebišov,458
343,Čierna Lehota,Rožňava,640
344,Čierna Lehota,Bánovce nad Bebravou,118
345,Čierna nad Tisou,Trebišov,3619
346,Čierna Voda,Galanta,1407
347,Čierne,Bytča,4453
348,Čierne,Čadca,4453
349,Čierne,Čadca,4453
350,Čierne Kľačany,Zlaté Moravce,1174
351,Čierne nad Topľou,Vranov nad Topľou,727
