"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Ábelová,Jaroslav Maslen,SMER-SD
Abovce,Irena Hanobiková,SMK-MKP
Abrahám,Igor Németh,SMER-SD
Abrahámovce,Ján Novotný,NEKA
Abrahámovce,Stanislav Lapko,NEKA
Abramová,Ľubomír Hrivnák,NEKA
Abranovce,Stanislav Volanský,NEKA
Adamovské Kochanovce,Michal Križan,NEKA
Adidovce,Milan Koromház,SMER-SD
Alekšince,Radoslav Ťapušík,NEKA
Andovce,Peter Puss,SMK-MKP
Andrejová,Tomáš Jurečko,NEKA
Ardanovce,Maroš Barta,SNS
Ardovo,Daniel Fábián,NEKA
Arnutovce,Zuzana Toporcerová,NEKA
Báb,Katarína Töröková,SMER-SD
Babie,Martina Hliboká,NEKA
Babín,Martin Matys,NEKA
Babiná,Jana Gregušová,SMER-SD
Babindol,Peter Ďurica,"MOST - HÍD, SMER-SD"
Babinec,Jaroslav Benda,SMER-SD
Bacúch,Michal Chovanec,NEKA
Bacúrov,Katarína Zlámalová,"SMER-SD, SNS"
Báč,Helena Vonyiková,NEKA
Bačka,Ladislav Kosztyu,NEKA
Bačkov,Jozef Nemčík,SMER-SD
Bačkovík,František Korečko,NEKA
Baďan,Ľubica Kuková,"SMER-SD, SNS"
Bádice,Stanislav Gál,SNS
Badín,Pavol Hric,NEKA
Báhoň,Ivan Patoprstý,KDH
Bajany,František Genco,"MOST - HÍD, ŠANCA"
Bajč,Oto Virág,MOST - HÍD
Bajerov,Vladimír Mruz,SMER-SD
Bajerovce,Michal Sekerák,SMER-SD
Bajka,Alojz Štrba,"SMER-SD, MOST - HÍD"
Bajtava,Jozef Benkó,NEKA
Baka,Juraj Bertalan,"MOST - HÍD, SMK-MKP"
Baláže,Róbert Chaban,NEKA
Baldovce,Jozef Mlynár,NEKA
Balog nad Ipľom,Peter Bálint,NEKA
Baloň,Frigyes Matus,SMK-MKP
Baňa,František Šlang,"SMER-SD, SNS"
Banka,Tatiana Julinyová,NEKA
Bánov,Miloš Rybár,NEKA
Bánovce nad Bebravou,Rudolfa Novotná,NEKA
Bánovce nad Ondavou,Ľudmila Ďurčáková,SMER-SD
Banská Belá,Branislav Babirád,SNS
Banská Bystrica,Ján Nosko,NEKA
Banská Štiavnica,Nadežda Babiaková,"SNS, SMER-SD, STRANA MODERNÉHO SLOVENSKA (SMS)"
Banské,Stanislav Maloš,SMER-SD
Banský Studenec,Pavol Santoris,SNS
Bara,Ľudovít Sütő,NEKA
Barca,Richard Szajko,MOST - HÍD
Bardejov,Boris Hanuščak,"SMER-SD, MOST - HÍD, SNS"
Bardoňovo,Tibor Černák,NEKA
Bartošova Lehôtka,Zlatica Groschová,NEKA
Bartošovce,Václav Hudák,KDH
Baška,Ján Serbin,"KDH, MOST - HÍD"
Baškovce,Pavol Tamáš,NOVA
Baškovce,Peter Báthory,NEKA
Bašovce,Ľubomír Dekan,NEKA
Batizovce,Gabriel Bodnár,NEKA
Bátka,Peter Hencz,MOST - HÍD
Bátorová,Ján Máth,NEKA
Bátorove Kosihy,Roland Labancz,SMK-MKP
Bátovce,Peter Burčo,"SMER-SD, MOST - HÍD, SNS"
Beckov,Daniel Hladký,NEKA
Beharovce,Zuzana Škotková,SNS
Becherov,Jozef Gmiterko,NEKA
Belá,Klaudia Pintérová,NEKA
Belá,Matúš Krajči,NEKA
Belá nad Cirochou,Ján Vajda,"SMER-SD, SNS"
Belá-Dulice,Igor Kapusta,NEKA
Beladice,Mário Žáčik,OKS
Belejovce,Marcel Sopoliga,NEKA
Belín,Ivan Očenáš,SMER-SD
Belina,Zoltán Marcinkó,SMK-MKP
Belince,Ľubomír Varga,SMER-SD
Bellova Ves,Mária Jankovičová,NEKA
Beloveža,Jozef Kostura,"MOST - HÍD, KDH"
Beluj,Monika Zlesíková,NEKA
Beluša,Ján Prekop,NEKA
Belža,Ondrej Pravda,SMER-SD
Beňadiková,Ján Martinovič,NEKA
Beňadikovce,Ladislav Šotík,SMER-SD
Beňadovo,Jaroslav Pepucha,KDH
Beňatina,Štefan Minčák,SMER-SD
Beniakovce,Miroslav Halás,ŠANCA
Benice,Milan Remšík,SMER-SD
Benkovce,Viera Pavlišková,SMER-SD
Beňuš,Katarína Srnková,SNS
Bernolákovo,Richard Červienka,NEKA
Bertotovce,Anton Leššo,KDH
Beša,Miroslav Černák,SMK-MKP
Beša,Alexander Kalán,SMK-MKP
Bešeňov,Gabriel Timoranský,NEKA
Bešeňová,Martin Baran,NEKA
Betlanovce,Zoltán Varga,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)"
Betliar,Ľubomír Zatroch,"Zmena zdola, DÚ, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH"
Bežovce,Luděk Hamšík,SMER-SD
Bidovce,Pavol Azari,NEKA
Biel,Ladislav Jurčák,MOST - HÍD
Bielovce,Irena Skladanová,"MOST - HÍD, SMER-SD"
Biely Kostol,Iveta Paulová,NEKA
Bijacovce,Ján Pivovarniček,KDH
Bílkove Humence,Rastislav Nemečkay,SMER-SD
Bíňa,Szabolcs Kremmer,NEKA
Bíňovce,Marián Novák,NEKA
Biskupice,Ladislav Noskó,SMK-MKP
Biskupová,Stanislav Knížat,SNS
Bitarová,Juraj Drdák,NEKA
Blahová,Alfréd Kuczman,NEKA
Blatná na Ostrove,Terézia Földváryová,NEKA
Blatná Polianka,Michal Kontra,SMER-SD
Blatné,Rastislav Pero,NEKA
Blatné Remety,Ľuboš Sliško,NEKA
Blatné Revištia,Gabriel Seman,SMER-SD
Blatnica,Karol Čičmanec,NEKA
Blažice,Juraj Gmitro,NEKA
Blažovce,Marek Chorváth,NEKA
Blesovce,,
Blhovce,Juraj Csörnök,SMK-MKP
Bobot,Danka Ďuriačová,SMER-SD
Bobrov,Anton Grobarčík,SMER-SD
Bobrovček,Ladislav Staroň,NEKA
Bobrovec,Ladislav Sedlák,"KDH, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS"
Bobrovník,Jana Bažíková,NEKA
Bočiar,Elena Szabóová,NEKA
Bodíky,Tamás Világi,SMK-MKP
Bodiná,Marcela Filová,NEKA
Bodorová,Jana Pagáčová,SNS
Bodovce,František Jusko,SMER-SD
Bodružal,Dušan Zelizňák,SMER-SD
Bodza,Zuzana Fitosová,MOST - HÍD
Bodzianske Lúky,Monika Aradi,SMK-MKP
Bogliarka,Jozef Pavličko,SMER-SD
Bohdanovce,Marta Gamrátová,SMER-SD
Bohdanovce nad Trnavou,Miroslav Sučák,NEKA
Boheľov,Mária Kázmérová,SMK-MKP
Bohunice,Peter Hajdúch,NEKA
Bohunice,Vladimíra Rišková,NEKA
Bohúňovo,Ágnes Takács,SMK-MKP
Bojná,Jozef Stankovský,NEKA
Bojnice,František Tám,"SMER-SD, SNS"
Bojničky,Igor Bojnanský,SMER-SD
Boľ,Atila Bohács,MKDA-MKDSZ
Boldog,Peter Múčka,NEKA
Boleráz,Pavol Mackovčín,NEKA
Bolešov,Martin Rác,"SZ, Progresívne Slovensko"
Boliarov,František Hlavatý,SMER-SD
Boľkovce,Ladislav Vanko,SMER-SD
Borcová,Marcela Pavlásková,NEKA
Borčany,Jaroslav Kopčan,SMER-SD
Borčice,Ľubica Hasidlová,SMER-SD
Borinka,Miroslav Paulen,NEKA
Borová,Blanka Matovičová,NEKA
Borovce,Ivan Šiška,NEKA
Borský Mikuláš,Róbert Macek,NEKA
Borský Svätý Jur,Anna Kratochvílová,NEKA
Borša,Anna Tünde Vargová,NEKA
Bory,Štefan Mirják,NEKA
Bošáca,Daniel Juráček,NEKA
Bošany,Branislav Pajda,NEKA
Boťany,Dionýz Szabó,NEKA
Bottovo,Andrea Baláková,NEKA
Bôrka,Vojtech Ičo,SMK-MKP
Bracovce,Ivana Kolesnáčová,NEKA
Branovo,Andrea Šulíková,NEKA
Bratislava,Matúš Vallo,"Progresívne Slovensko, SPOLU"
Braväcovo,Peter Baliak,SKS
Brdárka,Jaroslav Hric Jančo,"NÁRODNÁ KOALÍCIA, MOST - HÍD"
Brehov,Marek Balog,NEKA
Brehy,Juraj Tencer,SMER-SD
Brekov,Radoslav Nemec,NEKA
Brestov,Jozef Šoltés,SMER-SD
Brestov,Ľudmila Nováková,NEKA
Brestov nad Laborcom,Ján Zubaľ,SMER-SD
Brestovany,Ondrej Kuhajda,NEKA
Brestovec,Dušan Duga,NEKA
Brestovec,Peter Tóth,MOST - HÍD
Bretejovce,Pavel Mylan,NEKA
Bretka,Anna Giczeiová,SMK-MKP
Breza,Ladislav Matejčík,NEKA
Brezany,Iveta Brezianská,NEKA
Brezina,Mária Baloghová,SMER-SD
Breziny,Ján Šatara,NEKA
Breznica,Slavomír Brendza,SNS
Breznička,Monika Leľová,NEKA
Breznička,Branislav Knechta,NEKA
Brezno,Tomáš Abel,NEKA
Brezolupy,Iveta Rosová,SMER-SD
Brezov,Ladislav Lukáč,KDH
Brezová pod Bradlom,Jaroslav Ciran,NEKA
Brezovec,Miroslav Solomon,SNS
Brezovica,Jozef Hodoši,NEKA
Brezovica,Marián Ujmiak,KDH
Brezovička,Peter Tomčufčík,KDH
Brezovka,Peter Bučko,KDH
Brhlovce,Danuše Francisciová,"SMER-SD, MOST - HÍD"
Brieštie,Žaneta Lichnerová,SMER-SD
Brodské,Anna Krídlová,NEKA
Brodzany,Anton Zima,SMER-SD
Brunovce,Stanislava Zervanová,ĽS Naše Slovensko
Brusnica,Tatiana Szabóová,"SMER-SD, SNS"
Brusník,Jaroslav Kalmár,SMER-SD
