"Obec, mesto, mestská časť",region,province,latitude,longitude
Dolné Otrokovce,Hlohovec,Trnavský kraj,48.43174,17.8031
Dolné Plachtince,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Dolné Saliby,Galanta,Trnavský kraj,48.2,17.71667
Dolné Semerovce,Levice,Nitriansky kraj,48.21563,18.60705
Dolné Srnie,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Dolné Strháre,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Dolné Trhovište,Hlohovec,Trnavský kraj,48.43174,17.8031
Dolné Vestenice,Prievidza,Trenčiansky kraj,48.76667,18.63333
Dolné Zahorany,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Dolné Zelenice,Hlohovec,Trnavský kraj,48.43174,17.8031
Dolný Badín,Krupina,Banskobystrický kraj,48.3554,19.06474
Dolný Bar,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Dolný Harmanec,Banská Bystrica,Banskobystrický kraj,48.73946,19.15349
Dolný Hričov,Žilina,Žilinský kraj,49.23192,18.63326
Dolný Chotár,Galanta,Trnavský kraj,48.2,17.71667
Dolný Kalník,Martin,Žilinský kraj,49.06651,18.92399
Dolný Kubín,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Dolný Lieskov,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Dolný Lopašov,Piešťany,Trnavský kraj,48.59479,17.82591
Dolný Ohaj,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Dolný Pial,Levice,Nitriansky kraj,48.21563,18.60705
Dolný Štál,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Dolný Vadičov,Kysucké Nové Mesto,Žilinský kraj,49.3,18.78333
Doľany,Pezinok,Bratislavský kraj,48.28986,17.26664
Doľany,Levoča,Prešovský kraj,49.02173,20.59212
Domadice,Levice,Nitriansky kraj,48.21563,18.60705
Domaníky,Krupina,Banskobystrický kraj,48.3554,19.06474
Domaniža,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Domaňovce,Levoča,Prešovský kraj,49.02173,20.59212
Donovaly,Banská Bystrica,Banskobystrický kraj,48.73946,19.15349
Drábsko,Brezno,Banskobystrický kraj,48.80431,19.63631
Drahňov,Michalovce,Košický kraj,48.75434,21.9195
Drahovce,Piešťany,Trnavský kraj,48.59479,17.82591
Dravce,Levoča,Prešovský kraj,49.02173,20.59212
Dražice,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Dražkovce,Martin,Žilinský kraj,49.06651,18.92399
Drážovce,Krupina,Banskobystrický kraj,48.3554,19.06474
Drienčany,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Drienica,Sabinov,Prešovský kraj,49.10308,21.0988
Drienov,Prešov,Prešovský kraj,48.87318,21.27382
Drienovec,Košice-okolie,Košický kraj,48.66667,21.33333
Drienovo,Krupina,Banskobystrický kraj,48.3554,19.06474
Drienovská Nová Ves,Prešov,Prešovský kraj,48.99839,21.23393
Drietoma,Trenčín,Trenčiansky kraj,48.89452,18.04436
Drnava,Rožňava,Košický kraj,48.66008,20.53758
Drňa,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Družstevná pri Hornáde,Košice-okolie,Košický kraj,48.66667,21.33333
Drženice,Levice,Nitriansky kraj,48.21563,18.60705
Držkovce,Revúca,Banskobystrický kraj,48.68346,20.11734
Dubinné,Bardejov,Prešovský kraj,49.29175,21.27271
Dubnica nad Váhom,Ilava,Trenčiansky kraj,48.83333,18.25
Dubnička,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Dubník,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Dubno,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Dubodiel,Trenčín,Trenčiansky kraj,48.89452,18.04436
Dubová,Pezinok,Bratislavský kraj,48.28986,17.26664
Dubová,Svidník,Prešovský kraj,49.30819,21.5703
Dubovany,Piešťany,Trnavský kraj,48.59479,17.82591
Dubovce,Skalica,Trnavský kraj,48.8449,17.22635
Dubové,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Dubové,Zvolen,Banskobystrický kraj,48.57442,19.15324
Dubovec,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Dubovica,Sabinov,Prešovský kraj,49.10308,21.0988
Ducové,Piešťany,Trnavský kraj,48.59479,17.82591
Dudince,Krupina,Banskobystrický kraj,48.3554,19.06474
Dukovce,Svidník,Prešovský kraj,49.30819,21.5703
Dulov,Ilava,Trenčiansky kraj,48.83333,18.25
Dulova Ves,Prešov,Prešovský kraj,48.95313,21.3061
Dulovce,Komárno,Nitriansky kraj,47.76667,18.13333
Dulovo,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Dunajská Lužná,Senec,Bratislavský kraj,48.21951,17.40043
Dunajov,Čadca,Žilinský kraj,49.43503,18.78895
Dunajská Streda,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Dunajský Klátov,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Duplín,Stropkov,Prešovský kraj,49.20211,21.65216
Dúbrava,Levoča,Prešovský kraj,49.02173,20.59212
Dúbrava,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Dúbrava,Snina,Prešovský kraj,48.98857,22.15099
Dúbravica,Banská Bystrica,Banskobystrický kraj,48.67964,19.27292
Dúbravka,Michalovce,Košický kraj,48.75434,21.9195
Dúbravy,Detva,Banskobystrický kraj,48.56082,19.41954
Dvorany nad Nitrou,Topoľčany,Nitriansky kraj,48.56362,18.16712
Dvorec,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Dvorianky,Trebišov,Košický kraj,48.62858,21.71954
Dvorníky,Hlohovec,Trnavský kraj,48.43174,17.8031
Dvorníky-Včeláre,Košice-okolie,Košický kraj,48.66667,21.33333
Dvory nad Žitavou,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Ďačov,Sabinov,Prešovský kraj,49.10308,21.0988
Ďanová,Martin,Žilinský kraj,49.06651,18.92399
Ďapalovce,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Ďubákovo,Poltár,Banskobystrický kraj,48.43094,19.79408
Ďurčiná,Žilina,Žilinský kraj,49.06367,18.65222
Ďurďoš,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Ďurďošík,Košice-okolie,Košický kraj,48.66667,21.33333
Ďurďové,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Ďurkov,Košice-okolie,Košický kraj,48.66667,21.33333
Ďurková,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Ďurkovce,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Egreš,Trebišov,Košický kraj,48.62858,21.71954
Fačkov,Žilina,Žilinský kraj,49.22315,18.73941
Falkušovce,Michalovce,Košický kraj,48.75434,21.9195
Farná,Levice,Nitriansky kraj,48.21563,18.60705
Fekišovce,Sobrance,Košický kraj,48.74455,22.18136
Figa,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Fijaš,Svidník,Prešovský kraj,49.30819,21.5703
Fiľakovo,Lučenec,Banskobystrický kraj,48.33249,19.66708
Fiľakovské Kováče,Lučenec,Banskobystrický kraj,48.33249,19.66708
Fintice,Prešov,Prešovský kraj,49.05188,21.28664
Folkušová,Martin,Žilinský kraj,49.06651,18.92399
Forbasy,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Frička,Bardejov,Prešovský kraj,49.29175,21.27271
Fričkovce,Bardejov,Prešovský kraj,49.29175,21.27271
Fričovce,Prešov,Prešovský kraj,49.0167,20.96302
Fulianka,Prešov,Prešovský kraj,49.064,21.33146
Gabčíkovo,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Gaboltov,Bardejov,Prešovský kraj,49.29175,21.27271
Gajary,Malacky,Bratislavský kraj,48.43604,17.02188
Galanta,Galanta,Trnavský kraj,48.2,17.71667
Galovany,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Gánovce,Poprad,Prešovský kraj,49.06144,20.29798
Gáň,Galanta,Trnavský kraj,48.2,17.71667
Gbelce,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Gbely,Skalica,Trnavský kraj,48.8449,17.22635
Gbeľany,Žilina,Žilinský kraj,49.22315,18.73941
Geča,Košice-okolie,Košický kraj,48.66667,21.33333
Gelnica,Gelnica,Košický kraj,48.85584,20.93712
Gemer,Revúca,Banskobystrický kraj,48.68346,20.11734
Gemerček,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Gemerská Hôrka,Rožňava,Košický kraj,48.66008,20.53758
Gemerská Panica,Rožňava,Košický kraj,48.66008,20.53758
Gemerská Poloma,Rožňava,Košický kraj,48.66008,20.53758
Gemerská Ves,Revúca,Banskobystrický kraj,48.68346,20.11734
Gemerské Dechtáre,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Gemerské Michalovce,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Gemerské Teplice,Revúca,Banskobystrický kraj,48.68346,20.11734
Gemerský Jablonec,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Gemerský Sad,Revúca,Banskobystrický kraj,48.68346,20.11734
Geraltov,Prešov,Prešovský kraj,49.1394,21.25865
Gerlachov,Bardejov,Prešovský kraj,49.29175,21.27271
Gerlachov,Poprad,Prešovský kraj,49.06144,20.29798
Giglovce,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Giraltovce,Svidník,Prešovský kraj,49.30819,21.5703
Girovce,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Glabušovce,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Gočaltovo,Rožňava,Košický kraj,48.66008,20.53758
Gočovo,Rožňava,Košický kraj,48.66008,20.53758
Golianovo,Nitra,Nitriansky kraj,48.27189,18.19185
Gortva,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Gôtovany,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Granč-Petrovce,Levoča,Prešovský kraj,49.02173,20.59212
Gregorova Vieska,Lučenec,Banskobystrický kraj,48.33249,19.66708
Gregorovce,Prešov,Prešovský kraj,49.06742,21.20763
Gribov,Stropkov,Prešovský kraj,49.20211,21.65216
Gruzovce,Humenné,Prešovský kraj,48.93707,21.91625
Gyňov,Košice-okolie,Košický kraj,48.66667,21.33333
Habovka,Tvrdošín,Žilinský kraj,49.337,19.556
Habura,Medzilaborce,Prešovský kraj,49.16667,21.25
Hačava,Košice-okolie,Košický kraj,48.66667,21.33333
Háj,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Háj,Košice-okolie,Košický kraj,48.66667,21.33333
Hajná Nová Ves,Topoľčany,Nitriansky kraj,48.56362,18.16712
Hajnáčka,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hájske,Šaľa,Nitriansky kraj,48.15127,17.88062
Hajtovka,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Haláčovce,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Halič,Lučenec,Banskobystrický kraj,48.33249,19.66708
Haligovce,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Haluzice,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Hamuliakovo,Senec,Bratislavský kraj,48.21951,17.40043
Handlová,Prievidza,Trenčiansky kraj,48.76667,18.63333
Hanigovce,Sabinov,Prešovský kraj,49.10308,21.0988
Haniska,Prešov,Prešovský kraj,48.95436,21.23893
Haniska,Košice-okolie,Košický kraj,48.66667,21.33333
Hanková,Rožňava,Košický kraj,48.66008,20.53758
Hankovce,Bardejov,Prešovský kraj,49.29175,21.27271
Hankovce,Humenné,Prešovský kraj,48.93707,21.91625
Hanušovce nad Topľou,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Harakovce,Levoča,Prešovský kraj,49.02173,20.59212
Harhaj,Bardejov,Prešovský kraj,49.29175,21.27271
Harichovce,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Harmanec,Banská Bystrica,Banskobystrický kraj,48.73946,19.15349
Hatalov,Michalovce,Košický kraj,48.75434,21.9195
Hatné,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Havaj,Stropkov,Prešovský kraj,49.20211,21.65216
Havka,Kežmarok,Prešovský kraj,49.1357,20.43352
Havranec,Svidník,Prešovský kraj,49.30819,21.5703
Hažín,Michalovce,Košický kraj,48.75434,21.9195
Hažín nad Cirochou,Humenné,Prešovský kraj,48.93707,21.91625
Hažlín,Bardejov,Prešovský kraj,49.29175,21.27271
Helcmanovce,Gelnica,Košický kraj,48.85584,20.93712
Heľpa,Brezno,Banskobystrický kraj,48.80431,19.63631
Henckovce,Rožňava,Košický kraj,48.66008,20.53758
Henclová,Gelnica,Košický kraj,48.85584,20.93712
Hencovce,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Hendrichovce,Prešov,Prešovský kraj,49.02425,21.00014
Herľany,Košice-okolie,Košický kraj,48.66667,21.33333
Hermanovce,Prešov,Prešovský kraj,49.04584,21.01629
Hermanovce nad Topľou,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Hertník,Bardejov,Prešovský kraj,49.29175,21.27271
Hervartov,Bardejov,Prešovský kraj,49.29175,21.27271
Hiadeľ,Banská Bystrica,Banskobystrický kraj,48.81053,19.31561
Hincovce,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Hladovka,Tvrdošín,Žilinský kraj,49.337,19.556
Hlboké,Senica,Trnavský kraj,48.67922,17.36697
Hlboké nad Váhom,Bytča,Žilinský kraj,49.22404,18.55878
Hliník nad Hronom,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Hlinné,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Hlivištia,Sobrance,Košický kraj,48.74455,22.18136
Hlohovec,Hlohovec,Trnavský kraj,48.43174,17.8031
Hniezdne,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Hnilčík,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Hnilec,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Hnojné,Michalovce,Košický kraj,48.75434,21.9195
Hnúšťa,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hodejov,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hodejovec,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hodkovce,Košice-okolie,Košický kraj,48.66667,21.33333
Hodruša-Hámre,Žarnovica,Banskobystrický kraj,48.48124,18.71565
Hokovce,Levice,Nitriansky kraj,48.21563,18.60705
Holčíkovce,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Holiare,Komárno,Nitriansky kraj,47.76667,18.13333
Holice,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Holíč,Skalica,Trnavský kraj,48.81105,17.16238
Holiša,Lučenec,Banskobystrický kraj,48.33249,19.66708
Holumnica,Kežmarok,Prešovský kraj,49.1357,20.43352
Honce,Rožňava,Košický kraj,48.66008,20.53758
Hontianska Vrbica,Levice,Nitriansky kraj,48.21563,18.60705
Hontianske Moravce,Krupina,Banskobystrický kraj,48.3554,19.06474
Hontianske Nemce,Krupina,Banskobystrický kraj,48.3554,19.06474
Hontianske Tesáre,Krupina,Banskobystrický kraj,48.3554,19.06474
Hontianske Trsťany,Levice,Nitriansky kraj,48.21563,18.60705
Horná Breznica,Púchov,Trenčiansky kraj,48.83333,18.25
Horná Kráľová,Šaľa,Nitriansky kraj,48.15127,17.88062
Horná Krupá,Trnava,Trnavský kraj,48.51632,17.52492
Horná Lehota,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Horná Lehota,Brezno,Banskobystrický kraj,48.80431,19.63631
Horná Mariková,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Horná Mičiná,Banská Bystrica,Banskobystrický kraj,48.6989,19.21437
Horná Poruba,Ilava,Trenčiansky kraj,48.83333,18.25
Horná Potôň,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Horná Seč,Levice,Nitriansky kraj,48.21563,18.60705
Horná Streda,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Horná Strehová,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Horná Súča,Trenčín,Trenčiansky kraj,48.89452,18.04436
Horná Štubňa,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Horná Ves,Prievidza,Trenčiansky kraj,48.76667,18.63333
Horná Ves,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Horná Ždaňa,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Horné Dubové,Trnava,Trnavský kraj,48.51927,17.56378
Horné Hámre,Žarnovica,Banskobystrický kraj,48.48124,18.71565
Horné Chlebany,Topoľčany,Nitriansky kraj,48.56362,18.16712
Horné Lefantovce,Nitra,Nitriansky kraj,48.42399,18.14354
Horné Mladonice,Krupina,Banskobystrický kraj,48.3554,19.06474
Horné Mýto,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Horné Naštice,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Horné Obdokovce,Topoľčany,Nitriansky kraj,48.56362,18.16712
Horné Orešany,Trnava,Trnavský kraj,48.46738,17.44101
Horné Otrokovce,Hlohovec,Trnavský kraj,48.43174,17.8031
Horné Plachtince,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Horné Pršany,Banská Bystrica,Banskobystrický kraj,48.69964,19.0833
Horné Saliby,Galanta,Trnavský kraj,48.2,17.71667
Horné Semerovce,Levice,Nitriansky kraj,48.21563,18.60705
Horné Srnie,Trenčín,Trenčiansky kraj,48.89452,18.04436
Horné Strháre,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Horné Štitáre,Topoľčany,Nitriansky kraj,48.56362,18.16712
Horné Trhovište,Hlohovec,Trnavský kraj,48.43174,17.8031
Horné Turovce,Levice,Nitriansky kraj,48.21563,18.60705
Horné Vestenice,Prievidza,Trenčiansky kraj,48.76667,18.63333
Horné Zahorany,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Horné Zelenice,Hlohovec,Trnavský kraj,48.43174,17.8031
Horný Badín,Krupina,Banskobystrický kraj,48.3554,19.06474
Horný Bar,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Horný Hričov,Žilina,Žilinský kraj,49.25817,18.6631
Horný Kalník,Martin,Žilinský kraj,49.06651,18.92399
Horný Lieskov,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Horný Pial,Levice,Nitriansky kraj,48.21563,18.60705
Horný Tisovník,Detva,Banskobystrický kraj,48.56082,19.41954
Horný Vadičov,Kysucké Nové Mesto,Žilinský kraj,49.3,18.78333
Horňa,Sobrance,Košický kraj,48.74455,22.18136
Horňany,Trenčín,Trenčiansky kraj,48.89452,18.04436
Horovce,Púchov,Trenčiansky kraj,48.83333,18.25
Horovce,Michalovce,Košický kraj,48.75434,21.9195
Hoste,Galanta,Trnavský kraj,48.2,17.71667
Hostice,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hostie,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Hostišovce,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hostovice,Snina,Prešovský kraj,48.98857,22.15099
Hosťová,Nitra,Nitriansky kraj,48.33765,18.20451
Hosťovce,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Hosťovce,Košice-okolie,Košický kraj,48.66667,21.33333
Hozelec,Poprad,Prešovský kraj,49.06144,20.29798
Hôrka,Poprad,Prešovský kraj,49.06144,20.29798
Hôrka nad Váhom,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Hôrky,Žilina,Žilinský kraj,49.20473,18.69308
Hrabičov,Žarnovica,Banskobystrický kraj,48.48124,18.71565
Hrabkov,Prešov,Prešovský kraj,48.95968,21.02339
Hrabová Roztoka,Snina,Prešovský kraj,48.98857,22.15099
Hrabovčík,Svidník,Prešovský kraj,49.30819,21.5703
Hrabovec,Bardejov,Prešovský kraj,49.29175,21.27271
Hrabovec nad Laborcom,Humenné,Prešovský kraj,48.93707,21.91625
Hrabovka,Trenčín,Trenčiansky kraj,48.89452,18.04436
Hrabské,Bardejov,Prešovský kraj,49.29175,21.27271
Hrabušice,Spišská Nová Ves,Košický kraj,48.9756,20.40865
Hradisko,Kežmarok,Prešovský kraj,49.1357,20.43352
Hradište,Partizánske,Trenčiansky kraj,48.83333,18.25
Hradište,Poltár,Banskobystrický kraj,48.43094,19.79408
Hradište pod Vrátnom,Senica,Trnavský kraj,48.67922,17.36697
Hrádok,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Hrachovište,Nové Mesto nad Váhom,Trenčiansky kraj,48.75466,17.83506
Hrachovo,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hraničné,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Hranovnica,Poprad,Prešovský kraj,49.06144,20.29798
Hraň,Trebišov,Košický kraj,48.62858,21.71954
Hrašné,Myjava,Trenčiansky kraj,48.75876,17.56866
Hrašovík,Košice-okolie,Košický kraj,48.66667,21.33333
Hrčeľ,Trebišov,Košický kraj,48.62858,21.71954
Hrhov,Rožňava,Košický kraj,48.66008,20.53758
Hriadky,Trebišov,Košický kraj,48.62858,21.71954
Hričovské Podhradie,Žilina,Žilinský kraj,49.22224,18.62264
Hriňová,Detva,Banskobystrický kraj,48.56082,19.41954
Hrišovce,Gelnica,Košický kraj,48.85584,20.93712
Hrkovce,Levice,Nitriansky kraj,48.21563,18.60705
Hrlica,Revúca,Banskobystrický kraj,48.68346,20.11734
Hrnčiarovce nad Parnou,Trnava,Trnavský kraj,48.34261,17.56767
Hrnčiarska Ves,Poltár,Banskobystrický kraj,48.43094,19.79408
Hrnčiarske Zalužany,Poltár,Banskobystrický kraj,48.43094,19.79408
Hrochoť,Banská Bystrica,Banskobystrický kraj,48.65567,19.31284
Hromoš,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Hronec,Brezno,Banskobystrický kraj,48.80431,19.63631
Hronovce,Levice,Nitriansky kraj,48.21563,18.60705
Hronsek,Banská Bystrica,Banskobystrický kraj,48.65248,19.15682
Hronská Breznica,Zvolen,Banskobystrický kraj,48.57442,19.15324
Hronská Dúbrava,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Hronské Kľačany,Levice,Nitriansky kraj,48.21563,18.60705
Hronské Kosihy,Levice,Nitriansky kraj,48.21563,18.60705
Hronský Beňadik,Žarnovica,Banskobystrický kraj,48.48124,18.71565
Hrubá Borša,Senec,Bratislavský kraj,48.21951,17.40043
Hruboňovo,Nitra,Nitriansky kraj,48.30763,18.08453
Hrubov,Humenné,Prešovský kraj,48.93707,21.91625
Hrubý Šúr,Senec,Bratislavský kraj,48.21951,17.40043
Hrušov,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Hrušov,Rožňava,Košický kraj,48.66008,20.53758
Hrušovany,Topoľčany,Nitriansky kraj,48.56362,18.16712
Hrušovo,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hruštín,Námestovo,Žilinský kraj,49.4079,19.48032
Hubice,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Hubina,Piešťany,Trnavský kraj,48.59479,17.82591
Hubošovce,Sabinov,Prešovský kraj,49.10308,21.0988
Hubová,Ružomberok,Žilinský kraj,49.0748,19.30751
Hubovo,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hucín,Revúca,Banskobystrický kraj,48.68346,20.11734
Hudcovce,Humenné,Prešovský kraj,48.93707,21.91625
Hul,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Humenné,Humenné,Prešovský kraj,48.93707,21.91625
Huncovce,Kežmarok,Prešovský kraj,49.1357,20.43352
Hunkovce,Svidník,Prešovský kraj,49.30819,21.5703
Hurbanova Ves,Senec,Bratislavský kraj,48.21951,17.40043
Hurbanovo,Komárno,Nitriansky kraj,47.76667,18.13333
Husák,Sobrance,Košický kraj,48.74455,22.18136
Husiná,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Hutka,Bardejov,Prešovský kraj,49.29175,21.27271
Huty,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Hviezdoslavov,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Hvozdnica,Bytča,Žilinský kraj,49.22404,18.55878
Hybe,Liptovský Mikuláš,Žilinský kraj,49.08061,19.62218
Hýľov,Košice-okolie,Košický kraj,48.66667,21.33333
Chanava,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Chlebnice,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Chlmec,Humenné,Prešovský kraj,48.93707,21.91625
Chľaba,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Chmeľnica,Stará Ľubovňa,Prešovský kraj,49.29859,20.6862
Chmeľov,Prešov,Prešovský kraj,49.06805,21.43806
Chmeľová,Bardejov,Prešovský kraj,49.29175,21.27271
Chmeľovec,Prešov,Prešovský kraj,49.08226,21.36663
Chminianska Nová Ves,Prešov,Prešovský kraj,49.00332,21.08251
Chminianske Jakubovany,Prešov,Prešovský kraj,48.99663,21.01989
Chmiňany,Prešov,Prešovský kraj,49.0014,21.06785
Choča,Zlaté Moravce,Nitriansky kraj,48.38553,18.40063
Chocholná-Velčice,Trenčín,Trenčiansky kraj,48.89452,18.04436
Choňkovce,Sobrance,Košický kraj,48.74455,22.18136
Chorvátsky Grob,Senec,Bratislavský kraj,48.21951,17.40043
Chorváty,Košice-okolie,Košický kraj,48.66667,21.33333
Chotča,Stropkov,Prešovský kraj,49.20211,21.65216
Chotín,Komárno,Nitriansky kraj,47.76667,18.13333
Chrabrany,Topoľčany,Nitriansky kraj,48.56362,18.16712
Chrámec,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Chrastince,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Chrastné,Košice-okolie,Košický kraj,48.66667,21.33333
Chrasť nad Hornádom,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Chrenovec-Brusno,Prievidza,Trenčiansky kraj,48.76667,18.63333
Chropov,Skalica,Trnavský kraj,48.8449,17.22635
Chrťany,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Chtelnica,Piešťany,Trnavský kraj,48.59479,17.82591
Chudá Lehota,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Chvalová,Revúca,Banskobystrický kraj,48.68346,20.11734
Chvojnica,Myjava,Trenčiansky kraj,48.75876,17.56866
Chvojnica,Prievidza,Trenčiansky kraj,48.76667,18.63333
Chynorany,Partizánske,Trenčiansky kraj,48.83333,18.25
Chyžné,Revúca,Banskobystrický kraj,48.68346,20.11734
Igram,Senec,Bratislavský kraj,48.21951,17.40043
Ihľany,Kežmarok,Prešovský kraj,49.1357,20.43352
Ihráč,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Ilava,Ilava,Trenčiansky kraj,48.83333,18.25
Iliašovce,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Ilija,Banská Štiavnica,Banskobystrický kraj,48.44858,18.91003
Imeľ,Komárno,Nitriansky kraj,47.76667,18.13333
Inovce,Sobrance,Košický kraj,48.74455,22.18136
Iňa,Levice,Nitriansky kraj,48.21563,18.60705
Iňačovce,Michalovce,Košický kraj,48.75434,21.9195
Ipeľské Predmostie,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Ipeľské Úľany,Levice,Nitriansky kraj,48.21563,18.60705
Ipeľský Sokolec,Levice,Nitriansky kraj,48.21563,18.60705
Istebné,Dolný Kubín,Žilinský kraj,49.20983,19.30341
Ivachnová,Ružomberok,Žilinský kraj,49.0748,19.30751
