,povodne_name,population
1235,Lesenice,496
1236,Lesíček,419
1237,Lesné,442
1238,Lesnica,487
1239,Leštiny,267
1240,Lešť (vojenský obvod),35
1241,Letanovce,2293
1242,Letničie,511
1243,Leváre,80
1244,Levice,NaN
1245,Levkuška,247
1246,Levoča,14722
1247,Ležiachov,146
1248,Libichava,140
1249,Licince,799
1250,Ličartovce,991
1251,Liesek,2978
1252,Lieskovany,359
1253,Lieskovec,NaN
1255,Liešno,53
1256,Liešťany,1219
1257,Lietava,1555
1258,Lietavská Lúčka,1840
1259,Lietavská Svinná-Babkov,1726
1260,Likavka,3032
1261,Limbach,2254
1262,Lipany,6542
1263,Lipník,NaN
1264,Lipníky,520
1265,Lipová,NaN
1267,Lipovany,241
1268,Lipovce,522
1269,Lipové,145
1270,Lipovec,NaN
1272,Lipovník,NaN
1274,Liptovská Anna,85
1275,Liptovská Kokava,967
1276,Liptovská Lúžna,2783
1277,Liptovská Osada,1634
1278,Liptovská Porúbka,1185
1279,Liptovská Sielnica,605
1280,Liptovská Štiavnica,1269
1281,Liptovská Teplá,1005
1282,Liptovská Teplička,2462
1283,Liptovské Beharovce,78
1284,Liptovské Kľačany,378
1285,Liptovské Matiašovce,321
1286,Liptovské Revúce,1513
1287,Liptovské Sliače,3676
1288,Liptovský Hrádok,7397
1289,Liptovský Ján,1096
1290,Liptovský Michal,308
1291,Liptovský Mikuláš,31000
1292,Liptovský Ondrej,615
1293,Liptovský Peter,1318
1294,Liptovský Trnovec,553
1295,Lisková,2088
1296,Lišov,NaN
1297,Litava,NaN
1298,Litmanová,642
1299,Livina,NaN
1300,Livinské Opatovce,282
1301,Livov,72
1302,Livovská Huta,43
1303,Lodno,983
1304,Lok,951
1305,Lokca,2392
1306,Lom nad Rimavicou,250
1307,Lomná,940
1308,Lomné,235
1309,Lomnička,NaN
1310,Lontov,664
1311,Lopašov,333
1312,Lopúchov,314
1313,Lopušné Pažite,447
1314,Lošonec,563
1315,Lovce,699
1316,Lovča,682
1317,Lovčica-Trubín,1590
1318,Lovinobaňa,2003
1319,Lozorno,3056
1320,Ložín,821
1321,Lubeník,1281
1322,Lubina,NaN
1323,Lúč na Ostrove,689
1324,Lučatín,666
1325,Lučenec,27739
1326,Lúčina,164
1327,Lučivná,NaN
1328,Lúčka,NaN
1332,Lúčky,NaN
1335,Lúčnica nad Žitavou,929
1336,Ludanice,1812
1337,Ludrová,999
1338,Luhyňa,289
1339,Lúka,NaN
1340,Lukačovce,445
1341,Lukáčovce,1155
1342,Lukavica,NaN
1344,Lukov,NaN
1345,Lukovištia,178
1346,Lúky,NaN
1347,Lula,NaN
1348,Lupoč,218
1349,Lutila,1421
1350,Lutiše,724
1351,Lužany,NaN
1352,Lužany pri Topli,257
1353,Lužianky,2995
1354,Lysá pod Makytou,2074
1355,Lysica,851
1356,Ľubá,403
1357,Ľubeľa,1142
1358,Ľubica,NaN
1359,Ľubietová,1219
1360,Ľubiša,816
1361,Ľubochňa,1053
1362,Ľuboreč,NaN
1363,Ľuboriečka,152
1364,Ľubotice,3602
1365,Ľubotín,1355
1366,Ľubovec,515
1367,Ľudovítová,240
1368,Ľutina,499
1369,Ľutov,173
1370,Macov,407
1371,Mad,572
1372,Madunice,2271
1373,Magnezitovce,454
1374,Machulince,1108
1375,Majcichov,2158
1376,Majere,NaN
1377,Majerovce,445
1378,Makov,NaN
1379,Makovce,155
1380,Malá Čalomija,203
1381,Malá Čausa,707
1382,Malá Čierna,345
1383,Malá Domaša,595
1384,Malá Franková,184
1385,Malá Hradná,394
1386,Malá Ida,1741
1387,Malá Lehota,831
1388,Malá Lodina,190
1389,Malá Mača,590
1390,Malá nad Hronom,392
1391,Malá Poľana,116
1392,Malá Tŕňa,371
1393,Malacky,17467
1394,Malachov,1106
1395,Málaš,471
1396,Malatiná,824
1397,Malatíny,237
1398,Malcov,1622
1399,Malčice,1524
1400,Malé Borové,117
1401,Malé Dvorníky,1156
1402,Malé Chyndice,390
1403,Malé Hoste,393
1404,Malé Kosihy,400
1405,Malé Kozmálovce,320
1406,Malé Kršteňany,542
1407,Malé Lednice,500
1408,Malé Leváre,1365
1409,Malé Ludince,166
1410,Malé Ozorovce,524
1411,Malé Raškovce,231
1412,Malé Ripňany,557
1413,Malé Straciny,146
1414,Malé Trakany,1034
1415,Malé Uherce,770
1416,Malé Vozokany,315
1417,Malé Zálužie,263
1418,Malé Zlievce,292
1419,Málinec,1504
1420,Malinová,NaN
1421,Malinovo,3569
1422,Malužiná,230
1423,Malý Cetín,438
1424,Malý Čepčín,548
1425,Malý Horeš,1098
1426,Malý Kamenec,426
1427,Malý Krtíš,518
1428,Malý Lapáš,1074
1429,Malý Lipník,NaN
1430,Malý Slavkov,1103
1431,Malý Slivník,997
1432,Malý Šariš,1754
1433,Malženice,1540
1434,Mankovce,531
1435,Maňa,2025
1436,Marcelová,3714
1437,Margecany,1896
1438,Marhaň,964
1439,Marianka,2196
1440,Markovce,1030
1441,Markuška,155
1442,Markušovce,4606
1443,Maršová-Rašov,989
1444,Martin,NaN
1445,Martin nad Žitavou,535
1446,Martinček,NaN
1447,Martinová,NaN
1448,Martovce,679
1449,Mašková,NaN
1450,Maškovce,52
1451,Matejovce nad Hornádom,530
1452,Matiaška,280
1453,Matiašovce,821
1454,Matovce,126
1455,Matúškovo,2256
1456,Matysová,68
1457,Maťovské Vojkovce,636
1458,Medovarce,221
1459,Medvedie,46
1460,Medveďov,539
1461,Medzany,936
1462,Medzev,4482
1463,Medzianky,287
1464,Medzibrod,1383
1465,Medzibrodie nad Oravou,559
1466,Medzilaborce,6531
1467,Melčice-Lieskové,1612
1468,Melek,482
1469,Meliata,197
1470,Mengusovce,718
1471,Merašice,441
1472,Merník,609
1473,Mestečko,NaN
1474,Mestisko,461
1475,Mičakovce,136
1476,Mierovo,447
1477,Miezgovce,280
1478,Michajlov,86
1479,Michal na Ostrove,1009
1480,Michal nad Žitavou,662
1481,Michalková,31
1482,Michalok,283
1483,Michalová,1358
1484,Michalovce,38776
1485,Michaľany,1905
1486,Miklušovce,301
1487,Miková,131
1488,Mikulášová,126
1489,Mikušovce,NaN
1491,Milhosť,397
1492,Miloslavov,3469
1493,Milpoš,668
1494,Miňovce,338
1495,Mirkovce,1366
1496,Miroľa,54
1497,Mládzovo,94
1498,Mlynárovce,227
1499,Mlynčeky,688
1500,Mlynica,NaN
1501,Mlynky,NaN
1502,Mníchova Lehota,1226
1503,Mníšek nad Hnilcom,1801
1504,Mníšek nad Popradom,628
1505,Moča,1122
1506,Močenok,4281
1507,Močiar,NaN
1508,Modra,9046
1509,Modra nad Cirochou,995
1510,Modrany,1340
1511,Modrová,488
1512,Modrovka,194
1513,Modrý Kameň,1624
1514,Mojmírovce,2914
1515,Mojš,1234
1516,Mojtín,420
1517,Mojzesovo,1337
1518,Mokrá Lúka,536
1519,Mokrance,1358
1520,Mokroluh,772
1521,Mokrý Háj,722
1522,Moldava nad Bodvou,11307
1523,Moravany,NaN
1524,Moravany nad Váhom,2461
1525,Moravské Lieskové,2562
1526,Moravský Svätý Ján,2161
1527,Most pri Bratislave,3716
1528,Mostová,NaN
1529,Moškovec,65
1530,Mošovce,1340
1531,Moštenica,235
1532,Mošurov,180
1533,Motešice,793
1534,Motyčky,108
1535,Môlča,371
1536,Mrázovce,82
1537,Mučín,788
1538,Mudroňovo,128
1539,Mudrovce,68
1540,Muľa,360
1541,Muráň,NaN
1542,Muránska Dlhá Lúka,901
1543,Muránska Huta,188
1544,Muránska Lehota,195
1545,Muránska Zdychava,239
1546,Mútne,3068
1547,Mužla,1830
1548,Myjava,NaN
1549,Myslina,NaN
1550,Mýtna,NaN
1551,Mýtne Ludany,950
1552,Mýto pod Ďumbierom,528
1553,Nacina Ves,1809
1554,Nadlice,599
1555,Naháč,NaN
1556,Nálepkovo,3509
1557,Námestovo,7784
1558,Nána,1230
1559,Nandraž,284
1560,Necpaly,NaN
1561,Nedanovce,618
1562,Nedašovce,448
1563,Neded,3223
1564,Nededza,1052
1565,Nedožery-Brezany,2141
1566,Nechválova Polianka,63
1567,Nemce,1161
1568,Nemcovce,NaN
1570,Nemčice,987
1571,Nemčiňany,671
1572,Nemecká,NaN
1573,Nemečky,312
1574,Nemešany,425
1575,Nemšová,6414
1576,Nenince,1346
1577,Neporadza,NaN
1579,Nesvady,5049
1580,Nesluša,3168
1581,Neverice,720
1582,Nevidzany,NaN
1584,Nevoľné,424
1585,Nezbudská Lúčka,394
1586,Nimnica,709
1587,Nitra,76533
1588,Nitra nad Ipľom,377
1589,Nitrianska Blatnica,1243
1590,Nitrianska Streda,735
1591,Nitrianske Hrnčiarovce,2108
1592,Nitrianske Pravno,3216
1593,Nitrianske Rudno,NaN
1594,Nitrianske Sučany,1185
1595,Nitrica,NaN
1596,Nižná,NaN
1598,Nižná Boca,163
1599,Nižná Hutka,614
1600,Nižná Jablonka,161
1601,Nižná Jedľová,101
1602,Nižná Kamenica,611
1603,Nižná Myšľa,1675
1604,Nižná Olšava,429
1605,Nižná Pisaná,81
1606,Nižná Polianka,226
1607,Nižná Rybnica,415
1608,Nižná Sitnica,312
1609,Nižná Slaná,1257
1610,Nižná Voľa,284
1611,Nižné Ladičkovce,337
1612,Nižné Nemecké,333
1613,Nižné Repaše,163
1614,Nižné Ružbachy,635
1615,Nižný Čaj,265
1616,Nižný Hrabovec,1660
1617,Nižný Hrušov,1499
1618,Nižný Klátov,856
1619,Nižný Komárnik,190
1620,Nižný Kručov,396
1621,Nižný Lánec,460
1622,Nižný Mirošov,271
1623,Nižný Orlík,321
1624,Nižný Skálnik,184
1625,Nižný Slavkov,854
1626,Nižný Tvarožec,540
1627,Nižný Žipov,1451
1628,Nolčovo,257
1629,Norovce,317
1630,Nová Baňa,7314
1631,Nová Bašta,481
1632,Nová Bošáca,1059
1633,Nová Bystrica,NaN
1634,Nová Dedina,1470
1635,Nová Dedinka,2823
1636,Nová Dubnica,11040
1637,Nová Kelča,378
1638,Nová Lehota,NaN
1639,Nová Lesná,1650
1640,Nová Ľubovňa,2989
1641,Nová Polhora,490
1642,Nová Polianka,NaN
1643,Nová Sedlica,259
1644,Nová Ves,NaN
1645,Nová Ves nad Váhom,560
1646,Nová Ves nad Žitavou,1358
1647,Nová Vieska,690
1648,Nováčany,769
1649,Nováky,4203
1650,Nové Hony,176
1651,Nové Mesto nad Váhom,20071
1652,Nové Sady,NaN
1653,Nové Zámky,37512
1654,Novosad,1000
1655,Novoť,3683
1656,Nový Ruskov,678
1657,Nový Salaš,223
1658,Nový Svet,89
1659,Nový Tekov,863
1660,Nový Život,2239
1661,Nýrovce,499
1662,Ňagov,411
1663,Ňárad,625
1664,Obeckov,449
1665,Obid,1166
1666,Obišovce,481
1667,Oborín,731
1668,Obručné,29
1669,Obyce,1501
1670,Očkov,478
1671,Očová,2600
1672,Odorín,979
1673,Ohrady,1347
1674,Ohradzany,639
1675,Ochodnica,1922
1676,Ochtiná,556
1677,Okoč,3552
1678,Okoličná na Ostrove,1484
1679,Okrúhle,596
1680,Okružná,NaN
1681,Olcnava,1082
1682,Olejníkov,529
1683,Olešná,NaN
1684,Olováry,282
1685,Olšovany,682
1686,Oľdza,546
1687,Oľka,NaN
1688,Oľšavce,172
1689,Oľšavica,266
1690,Oľšavka,NaN
1692,Oľšinkov,23
1693,Oľšov,381
1694,Omastiná,NaN
1695,Omšenie,1934
1696,Ondavka,NaN
1697,Ondavské Matiašovce,794
1698,Ondrašovce,54
1699,Ondrašová,84
1700,Ondrejovce,467
1701,Opátka,NaN
1702,Opatovce,417
1703,Opatovce nad Nitrou,1563
1704,Opatovská Nová Ves,676
1705,Opava,NaN
1706,Opiná,191
1707,Opoj,1269
1708,Oponice,811
1709,Oravce,180
1710,Orávka,170
1711,Oravská Jasenica,1879
1712,Oravská Lesná,3434
1713,Oravská Polhora,3997
1714,Oravská Poruba,1064
1715,Oravský Biely Potok,722
1716,Oravský Podzámok,1373
1717,Ordzovany,163
1718,Orechová,256
1719,Orechová Potôň,1645
1720,Oravské Veselé,2961
1721,Oreské,NaN
1723,Orešany,328
1724,Orlov,611
1725,Orovnica,556
1726,Ortuťová,193
1727,Osádka,167
1728,Osadné,157
1729,Osikov,969
1730,Oslany,2375
1731,Osrblie,368
1732,Ostrá Lúka,301
1733,Ostratice,793
1734,Ostrov,NaN
1736,Ostrovany,2220
1737,Ostrý Grúň,543
1738,Osturňa,311
1739,Osuské,603
1740,Oščadnica,NaN
1741,Otrhánky,397
1742,Otročok,326
1743,Ovčiarsko,686
1744,Ovčie,665
1745,Ozdín,290
1746,Ožďany,1663
1747,Pača,577
1748,Padáň,896
1749,Padarovce,175
1750,Pakostov,439
1751,Palárikovo,4189
1752,Palín,897
1753,Palota,198
1754,Panické Dravce,752
1755,Paňa,395
1756,Paňovce,607
1757,Papín,938
1758,Papradno,2453
1759,Parchovany,1939
1760,Parihuzovce,21
1761,Párnica,926
1762,Partizánska Ľupča,1266
1763,Partizánske,22269
1764,Pastovce,499
1765,Pastuchov,965
1766,Pašková,NaN
1767,Paština Závada,234
1768,Pata,3174
1769,Pataš,780
1770,Patince,448
1771,Pavčina Lehota,396
1772,Pavlice,NaN
1773,Pavlová,220
1774,Pavlova Ves,267
1775,Pavlovce,NaN
1777,Pavlovce nad Uhom,4687
1778,Pavľany,48
1779,Pažiť,NaN
1780,Pčoliné,553
1781,Pečenice,131
1782,Pečeňady,558
1783,Pečeňany,522
1784,Pečovská Nová Ves,2820
1785,Peder,403
1786,Perín-Chym,1479
1787,Pernek,867
1788,Petkovce,140
1789,Petrikovce,194
1790,Petrová,915
1791,Petrova Lehota,186
1792,Petrova Ves,1091
1793,Petrovany,1984
1794,Petrovce,NaN
1797,Petrovce nad Laborcom,1063
1798,Petrovice,NaN
1799,Petrovo,111
1800,Pezinok,23034
1801,Piešťany,27336
1802,Pichne,578
1803,Píla,NaN
1806,Pinciná,219
1807,Pinkovce,187
1808,Piskorovce,115
1809,Pitelová,646
1810,Plášťovce,1515
1811,Plavé Vozokany,766
1812,Plavecké Podhradie,667
1813,Plavecký Mikuláš,731
1814,Plavecký Peter,641
1815,Plavecký Štvrtok,2477
1816,Plaveč,NaN
1817,Plavnica,1647
1818,Plechotice,786
1819,Pleš,NaN
1820,Plešivec,2275
1821,Plevník-Drienové,1657
1822,Pliešovce,2329
1823,Ploské,NaN
1825,Pobedim,1151
1826,Počarová,140
1827,Počúvadlo,96
1828,Podbiel,1286
1829,Podbranč,616
1830,Podbrezová,3797
1831,Podhájska,1015
1832,Podhorany,NaN
1835,Podhorie,NaN
1837,Podhoroď,340
1838,Podhradie,NaN
1841,Podhradík,398
1842,Podkonice,913
1843,Podkriváň,564
1844,Podkylava,223
1845,Podlužany,NaN
1847,Podolie,NaN
1848,Podolínec,3155
1849,Podrečany,544
1850,Podskalie,123
1851,Podtureň,1117
1852,Podvysoká,1342
1853,Podzámčok,539
1854,Pohorelá,2158
1855,Pohranice,1096
1856,Pohronská Polhora,1710
1857,Pohronský Bukovec,118
1858,Pohronský Ruskov,1214
1859,Pochabany,256
1860,Pokryváč,163
1861,Poliakovce,382
1862,Polianka,390
1863,Polichno,129
1864,Polina,107
1865,Poloma,NaN
1866,Polomka,2964
1867,Poltár,5584
1868,Poluvsie,NaN
1869,Poľanovce,164
1870,Poľany,494
1871,Poľný Kesov,666
1872,Pongrácovce,118
1873,Poniky,1555
1874,Poprad,51235
1875,Poproč,NaN
1877,Popudinské Močidľany,942
1878,Poráč,974
1879,Poriadie,685
1880,Porostov,191
1881,Poruba,NaN
1882,Poruba pod Vihorlatom,609
1883,Porúbka,NaN
1887,Poša,977
1888,Potok,NaN
1890,Potoky,NaN
1891,Potôčky,NaN
1892,Potônske Lúky,283
1893,Potvorice,680
1894,Považany,1246
1895,Považská Bystrica,39271
1896,Povina,1154
1897,Povoda,969
1898,Povrazník,NaN
1899,Pozba,443
1900,Pozdišovce,1317
1901,Pôtor,775
1902,Praha,1294513
1903,Prakovce,3342
1904,Prašice,2027
1905,Prašník,833
1906,Pravenec,1319
1907,Pravica,NaN
1908,Pravotice,332
1909,Práznovce,969
1910,Prečín,1509
1911,Predajná,1316
1912,Predmier,NaN
1913,Prenčov,661
1914,Preseľany,1433
1915,Prestavlky,700
1916,Prešov,88464
1917,Príbelce,566
1918,Pribeník,987
1919,Pribeta,2770
1920,Pribiš,461
1921,Príbovce,1118
1922,Pribylina,1312
1923,Priechod,NaN
1924,Priekopa,NaN
1925,Priepasné,371
1926,Prietrž,NaN
1927,Prietržka,532
1928,Prievaly,1011
1929,Prievidza,45634
1930,Prihradzany,76
1931,Príkra,12
1932,Príslop,NaN
1933,Prituľany,44
1934,Proč,411
1935,Prochot,562
1936,Prosačov,220
1937,Prosiek,216
1938,Prša,214
1939,Pruské,2317
1940,Prusy,NaN
1941,Pružina,NaN
1942,Pstriná,55
1943,Ptičie,647
1944,Ptrukša,464
1945,Pucov,NaN
1946,Púchov,17561
1947,Pukanec,1823
1948,Pusté Čemerné,367
1949,Pusté Pole,NaN
1950,Pusté Sady,601
1951,Pusté Úľany,1806
1952,Pušovce,527
1953,Rabča,5106
1954,Rabčice,2038
1955,Rad,NaN
1956,Radatice,812
1957,Radava,748
1958,Radimov,555
1959,Radnovce,964
1960,Radobica,531
1961,Radoľa,1512
1962,Radoma,429
1963,Radošina,1934
1964,Radošovce,NaN
1966,Radôstka,801
1967,Radvanovce,233
1968,Radvaň nad Dunajom,704
1969,Radvaň nad Laborcom,555
1970,Radzovce,1556
1971,Rafajovce,175
1972,Rajčany,518
1973,Rajec,5787
1974,Rajecká Lesná,1185
1975,Rajecké Teplice,3023
1976,Rákoš,NaN
1978,Raková,NaN
1979,Rakovčík,168
1980,Rakovec nad Ondavou,1062
1981,Rakovice,NaN
1982,Rakovnica,594
1983,Rakovo,379
1984,Rakša,NaN
1985,Rakúsy,NaN
1986,Rakytník,NaN
1987,Rankovce,928
1988,Rapovce,939
1989,Raslavice,2804
1990,Rastislavice,957
1991,Rašice,119
1992,Ratka,303
1993,Ratková,636
1994,Ratkovce,345
1995,Ratkovo,NaN
1996,Ratkovská Lehota,46
1997,Ratkovská Suchá,41
1998,Ratkovské Bystré,327
1999,Ratnovce,1088
2000,Ratvaj,139
2001,Ráztočno,1222
2002,Ráztoka,NaN
2003,Ražňany,1570
2004,Reca,1544
2005,Regetovka,42
2006,Rejdová,761
2007,Reľov,345
2008,Remeniny,278
2009,Remetské Hámre,560
2010,Renčišov,167
2011,Repejov,107
2012,Repište,277
2013,Rešica,327
2014,Rešov,NaN
2015,Revúca,NaN
2016,Revúcka Lehota,303
2017,Riečka,NaN
2019,Richnava,NaN
2020,Richvald,1004
2021,Rimavská Baňa,532
2022,Rimavská Seč,2154
2023,Rimavská Sobota,23751
2024,Rimavské Brezovo,530
2025,Rimavské Janovce,1358
2026,Rimavské Zalužany,357
2027,Rišňovce,2062
2028,Rohov,NaN
2029,Rohovce,1170
2030,Rohožník,NaN
2032,Rochovce,336
2033,Rokycany,NaN
2034,Rokytov,571
2035,Rokytov pri Humennom,283
2036,Rokytovce,171
2037,Rosina,3278
2038,Roškovce,146
2039,Roštár,631
2040,Rovensko,438
2041,Rovinka,4669
2042,Rovné,NaN
2045,Rovňany,248
2046,Rozhanovce,2580
2047,Rozložná,204
2048,Roztoky,NaN
2049,Rožkovany,1331
2050,Rožňava,19045
2051,Rožňavské Bystré,625
2052,Rúbaň,940
2053,Rudina,1825
2054,Rudinka,392
2055,Rudinská,1002
2056,Rudlov,709
2057,Rudná,NaN
2058,Rudnianska Lehota,734
2059,Rudník,NaN
2061,Rudno,193
2062,Rudno nad Hronom,548
2063,Rudňany,4727
2064,Rumanová,820
2065,Rumince,371
2066,Runina,77
2067,Ruská,578
2068,Ruská Bystrá,107
2069,Ruská Kajňa,107
2070,Ruská Nová Ves,1291
2071,Ruská Poruba,228
2072,Ruská Volová,97
2073,Ruská Voľa,85
2074,Ruská Voľa nad Popradom,83
2075,Ruskov,1568
2076,Ruskovce,NaN
2078,Ruský Hrabovec,288
2079,Ruský Potok,136
2080,Ružiná,861
2081,Ružindol,1667
2082,Ružomberok,26558
2083,Rybany,1465
2084,Rybky,419
2085,Rybník,NaN
2087,Rykynčice,268
2088,Sabinov,12700
2089,Sačurov,2506
2090,Sedlice,NaN
2091,Sádočné,154
2092,Sady nad Torysou,1973
2093,Salka,991
2094,Santovka,625
2095,Sap,512
2096,Sása,NaN
2098,Sasinkovo,854
2099,Sazdice,473
2100,Sebedín-Bečov,362
2101,Sebedražie,1723
2102,Sebechleby,1208
2103,Seč,NaN
2104,Sečianky,359
2105,Sečovce,8542
2106,Sečovská Polianka,2750
2107,Sedliacka Dubová,536
2108,Sedliská,1447
2109,Sedmerovec,419
2110,Sejkov,192
2111,Sekule,1782
2112,Selce,NaN
2115,Selec,1009
2116,Selice,2839
2117,Seľany,171
2118,Semerovo,1379
2119,Senec,19963
2120,Seniakovce,167
2121,Senica,20289
2122,Senné,NaN
2124,Senohrad,754
2125,Seňa,2133
2126,Sereď,15444
2127,Sielnica,1427
2128,Sihelné,2161
2129,Sihla,191
2130,Sikenica,NaN
2131,Sikenička,428
2132,Siladice,650
2133,Silica,NaN
2134,Silická Brezová,150
2135,Silická Jablonica,187
2136,Sirk,1286
2137,Sirník,571
2138,Skačany,1348
2139,Skalica,NaN
2140,Skalité,5243
2141,Skalka nad Váhom,1190
2142,Skároš,1113
2143,Skerešovo,228
2144,Sklabiná,976
2145,Sklabinský Podzámok,181
2146,Sklabiňa,622
2147,Sklené,NaN
2148,Sklené Teplice,382
2149,Skrabské,784
2150,Skýcov,971
2151,Sládkovičovo,5209
2152,Slančík,NaN
2153,Slanec,NaN
2154,Slanská Huta,247
2155,Slanské Nové Mesto,477
2156,Slaská,464
2157,Slatina,NaN
2158,Slatina nad Bebravou,441
2159,Slatinka nad Bebravou,191
2160,Slatinské Lazy,544
2161,Slatvina,319
2162,Slavec,479
2163,Slavkovce,705
2164,Slavnica,799
2165,Slavoška,125
2166,Slavošovce,1873
2167,Slepčany,800
2168,Sliač,4959
2169,Sliepkovce,744
2170,Slizké,239
2171,Slivník,766
2172,Slopná,478
2173,Slovany,447
2174,Slovenská Kajňa,749
2175,Slovenská Ľupča,3257
2176,Slovenská Nová Ves,543
2177,Slovenská Ves,1875
2178,Slovenská Volová,568
2179,Slovenské Ďarmoty,547
2180,Slovenské Kľačany,170
2181,Slovenské Krivé,120
2182,Slovenské Nové Mesto,1110
2183,Slovenské Pravno,925
2184,Slovenský Grob,4615
2185,Slovinky,1862
2186,Sľažany,1685
2187,Smilno,702
2188,Smižany,8751
2189,Smolenice,3354
2190,Smolinské,900
2191,Smolnícka Huta,473
2192,Smolník,NaN
2193,Smrdáky,654
2194,Smrečany,680
2195,Snakov,681
2196,Snežnica,1055
2197,Snina,19520
2198,Socovce,237
2199,Soblahov,2400
2200,Soboš,149
2201,Sobotište,1464
2202,Sobrance,6346
2203,Sokolce,1190
2204,Sokolovce,1367
2205,Sokoľ,1237
2206,Sokoľany,1378
2207,Solčany,2475
2208,Solčianky,257
2209,Sološnica,1587
2210,Soľ,NaN
2211,Soľnička,NaN
2212,Soľník,31
2213,Somotor,1409
2214,Sopkovce,97
2215,Spišská Belá,6733
2216,Spišská Nová Ves,37007
2217,Spišská Stará Ves,2230
2218,Spišská Teplica,2260
2219,Spišské Bystré,2549
2220,Spišské Hanušovce,789
2221,Spišské Podhradie,3985
2222,Spišské Tomášovce,2102
2223,Spišské Vlachy,3459
2224,Spišský Hrhov,1685
2225,Spišský Hrušov,1294
2226,Spišský Štiavnik,2907
2227,Spišský Štvrtok,2524
2228,Stakčín,2434
2229,Stakčínska Roztoka,306
2230,Stanča,406
2231,Stankovany,1167
2232,Stankovce,NaN
2233,Stará Bašta,336
2234,Stará Bystrica,2751
2235,Stará Halič,658
2236,Stará Huta,NaN
2237,Stará Kremnička,1156
2238,Stará Lehota,199
2239,Stará Lesná,1018
2240,Stará Ľubovňa,16327
2241,Stará Myjava,NaN
2242,Stará Turá,8764
2243,Stará Voda,NaN
2244,Staré,765
2245,Staré Hory,555
2246,Starina,NaN
2247,Starý Hrádok,203
2248,Starý Tekov,1490
2249,Staškov,2806
2250,Staškovce,245
2251,Stebnícka Huta,225
2252,Stebník,301
2253,Stožok,1058
2254,Stráne pod Tatrami,2629
2255,Stránska,348
2256,Stránske,872
2257,Stráňany,NaN
2258,Stráňavy,1870
2259,Stratená,126
2260,Stráža,673
2261,Strážne,579
2262,Strážske,4250
2263,Strečno,NaN
2264,Streda nad Bodrogom,2217
2265,Stredné Plachtince,587
2266,Strekov,1962
2267,Strelníky,777
2268,Stretava,702
2269,Stretavka,165
2270,Streženice,1044
2271,Strihovce,146
2272,Stročín,568
2273,Stropkov,10438
2274,Studená,NaN
2275,Studenec,NaN
2276,Studienka,1624
2277,Stuľany,559
2278,Stupava,12108
2279,Stupné,689
2280,Sučany,4714
2281,Sudince,82
2282,Súdovce,219
2283,Suchá Dolina,212
2284,Suchá Hora,1448
2285,Suchá nad Parnou,2203
2286,Sucháň,273
2287,Suché,407
2288,Suché Brezovo,94
2289,Suchohrad,647
2290,Sukov,156
2291,Sulín,316
2292,Súlovce,515
2293,Súľov-Hradná,966
2294,Sušany,435
2295,Sútor,607
2296,Svätá Mária,NaN
2297,Svätoplukovo,1342
2298,Svätuš,108
2299,Svätuše,786
2300,Svätý Anton,NaN
2301,Svätý Jur,5724
2302,Svätý Kríž,NaN
2303,Svätý Peter,NaN
2304,Svederník,1447
2305,Sverepec,1359
2306,Sveržov,620
2307,Svetlice,101
2308,Svidnička,137
2309,Svidník,10752
2310,Svinia,2396
2311,Svinica,NaN
2312,Svinice,220
2313,Svinná,1570
2314,Svit,NaN
2315,Svodín,2477
2316,Svrbice,199
2317,Svrčinovec,3487
2318,Šahy,7219
2319,Šajdíkove Humence,1112
2320,Šalgovce,516
2321,Šalgočka,467
2322,Šalov,354
2323,Šaľa,21689
2324,Šambron,376
2325,Šamorín,13350
2326,Šamudovce,653
2327,Šandal,330
2328,Šarbov,16
2329,Šarišská Poruba,638
2330,Šarišská Trstená,359
2331,Šarišské Bohdanovce,921
2332,Šarišské Čierne,297
2333,Šarišské Dravce,1189
2334,Šarišské Jastrabie,1483
2335,Šarišské Michaľany,2828
2336,Šarišské Sokolovce,590
2337,Šarišský Štiavnik,278
2338,Šarkan,NaN
2339,Šarovce,1597
2340,Šašová,159
2341,Šaštín-Stráže,4965
2342,Šávoľ,547
2343,Šelpice,885
2344,Šemetkovce,85
2345,Šemša,865
2346,Šenkvice,5095
2347,Šiatorská Bukovinka,298
2348,Šiba,634
2349,Šíd,1327
2350,Šimonovce,562
2351,Šindliar,540
2352,Šintava,1741
2353,Šípkov,145
2354,Šípkové,297
2355,Širákov,197
2356,Širkovce,977
2357,Široké,2512
2358,Šišov,506
2359,Šivetice,375
2360,Šmigovec,79
2361,Šoltýska,97
2362,Šoporňa,4154
2363,Špačince,3010
2364,Špania Dolina,215
2365,Španie Pole,76
2366,Šrobárová,514
2367,Štefanov,1646
2368,Štefanov nad Oravou,688
2369,Štefanová,NaN
2370,Štefanovce,NaN
2372,Štefanovičová,367
2373,Štefurov,113
2374,Šterusy,503
2375,Štiavnické Bane,820
2376,Štiavnička,NaN
2377,Štiavnik,NaN
2378,Štitáre,1003
2379,Štítnik,NaN
2380,Štós,760
2381,Štôla,534
2382,Štrba,3483
2383,Štrkovec,NaN
2384,Štúrovo,10186
2385,Štvrtok,NaN
2386,Štvrtok na Ostrove,1725
2387,Šuja,328
2388,Šuľa,66
2389,Šumiac,1268
2390,Šuňava,1977
2391,Šurany,9659
2392,Šurianky,574
2393,Šurice,484
2394,Šúrovce,2315
