"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Bratislava,Ivo Nesrovnal,NEKA
Bratislava-Čunovo,Gabriela Ferenčáková,"MOST - HÍD, SIEŤ, SDKÚ-DS, SZ, SaS, OKS, KDH"
Bratislava-Devín,Ľubica Kolková,"SIEŤ, MOST - HÍD, SDKÚ-DS, SaS, KDH"
Bratislava-Devínska Nová Ves,Milan Jambor,"SIEŤ, SDKÚ-DS, SaS, MOST - HÍD"
Bratislava-Dúbravka,Martin Zaťovič,"SIEŤ, SDKÚ-DS, KDH, MOST - HÍD, NOVA, OKS, SaS, SZ, EDS"
Bratislava-Jarovce,Pavel Škodler,NEKA
Bratislava-Karlova Ves,Dana Čahojová,NEKA
Bratislava-Lamač,Peter Šramko,"KDH, SaS, SDKÚ-DS, NOVA, OBYČAJNÍ ĽUDIA a nezávislé osobnosti, OKS, SIEŤ"
Bratislava-Nové Mesto,Rudolf Kusý,NEKA
Bratislava-Petržalka,Vladimír Bajan,NEKA
Bratislava-Podunajské Biskupice,Alžbeta Ožvaldová,"SIEŤ, SDKÚ-DS, SaS, MOST - HÍD, SMK-MKP, KDH, NOVA, SMER-SD"
Bratislava-Rača,Peter Pilinský,"SIEŤ, KDH, MOST - HÍD, NOVA, SZ"
Bratislava-Rusovce,Dušan Antoš,NEKA
Bratislava-Ružinov,Dušan Pekár,"KDH, OBYČAJNÍ ĽUDIA a nezávislé osobnosti, NOVA, Zmena zdola, DÚ, SMK-MKP, OKS"
Bratislava-Staré Mesto,Radoslav Števčík,NEKA
Bratislava-Vajnory,Ján Mrva,NEKA
Bratislava-Vrakuňa,Martin Kuruc,NEKA
Bratislava-Záhorská Bystrica,Jozef Krúpa,"SDKÚ-DS, KDH, SIEŤ, NOVA, SaS, MOST - HÍD"
Borinka,Milan Maxian,SMER-SD
Gajary,Peter Tydlitát,"SNS, SMER-SD"
Jablonové,Ondrej Uhliarik,KDH
Jakubov,Peter Gajdár,NEKA
Kostolište,Hubert Danihel,"SMER-SD, SDKÚ-DS, SNS"
Kuchyňa,Róbert Bujna,"KDH, NOVA, SDKÚ-DS"
Láb,Marián Moravčík,NEKA
Lozorno,Ľubomír Húbek,NEKA
Malacky,Juraj Říha,NEKA
Malé Leváre,Adrian Pernecký,"SMER-SD, SDKÚ-DS, SNS"
Marianka,Radovan Jurika,NEKA
Pernek,František Bokes,"SMER-SD, SDS, SNS"
Plavecké Podhradie,Milan Kousal,NEKA
Plavecký Mikuláš,Marta Hlavatá,NEKA
Plavecký Štvrtok,Ivan Slezák,SMER-SD
Rohožník,Peter Švaral,NEKA
Sološnica,Anna Čermáková,NEKA
Studienka,Boris Soukup,"SMER-SD, SDKÚ-DS, SNS"
Stupava,Roman Maroš,NEKA
Suchohrad,Andrea Grujbárová,SMER-SD
Veľké Leváre,Štefan Kudlička,NEKA
Vysoká pri Morave,Dušan Dvoran,SMER-SD
Záhorská Ves,Boris Šimkovič,SMER-SD
Závod,Peter Vrablec,KDH
Zohor,Martin Zálesňák,NEKA
Báhoň,Ivan Patoprstý,KDH
Budmerice,Jozef Savkuliak,NEKA
Častá,Mária Garajová,NEKA
Doľany,Jozef Mruškovič,SMER-SD
Dubová,Ľudovít Ružička,"SNS, SMER-SD"
Jablonec,Slavomír Pocisk,NEKA
Limbach,Adriana Čechovičová,NEKA
Modra,Juraj Petrakovič,NEKA
Pezinok,Oliver Solga,"SDKÚ-DS, OKS, SaS, NOVA"
Píla,Radovan Mičunek,NEKA
Slovenský Grob,Štefan Gašparovič,SMER-SD
Svätý Jur,Šimon Gabura,KDH
Šenkvice,Peter Fitz,"SMER-SD, SNS, SIEŤ"
Štefanová,Viliam Tekula,NEKA
Viničné,Štefan Lenghart,"SMER-SD, SIEŤ"
Vinosady,Milan Lempochner,NEKA
Vištuk,Ľubomír Jelínek,KDH
Bernolákovo,Richard Červienka,NEKA
Blatné,Rastislav Pero,NEKA
Boldog,Alojz Časný,NEKA
Čataj,Marta Tušová,NEKA
Dunajská Lužná,Štefan Jurčík,NEKA
Hamuliakovo,Jozef Schnóbl,NEKA
Hrubá Borša,Ján Klačko,NEKA
Hrubý Šúr,Ladislav Gujber,"SMK-MKP, MOST - HÍD"
Hurbanova Ves,Ľubomír Petrák,SMER-SD
Chorvátsky Grob,Radovan Benčík,NEKA
Igram,Štefan Kovaľ,"KDH, SIEŤ"
Ivanka pri Dunaji,Ivan Schreiner,NEKA
Kalinkovo,Štefan Božík,NEKA
Kaplna,Vladimír Vittek,NEKA
Kostolná pri Dunaji,Ján Filkász,KDH
Kráľová pri Senci,Dušan Šebok,SMER-SD
Malinovo,Eva Godová,NEKA
Miloslavov,Milan Baďanský,"SDKÚ-DS, KDH, SaS, MOST - HÍD, NOVA"
Most pri Bratislave,František Mastný,NEKA
Nová Dedinka,Viola Takáčová,NEKA
Nový Svet,Dušan Šebeň,NEKA
