"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Bodružal,Dušan Zelizňák,SMER-SD
Bodza,Vojtech Antal,NEKA
Bodzianske Lúky,Monika Aradi,SMK-MKP
Bogliarka,Jozef Pavličko,SMER-SD
Bohdanovce,Marta Gamrátová,SMER-SD
Bohdanovce nad Trnavou,Miroslav Sučák,NEKA
Boheľov,Mária Kázmérová,SMK-MKP
Bohunice,Peter Hajdúch,NEKA
Bohunice,Vladimíra Rišková,NEKA
Bohúňovo,Ágnes Takács,SMK-MKP
Bojná,Jozef Stankovský,NEKA
Bojnice,František Tám,SMER-SD
Bojničky,Igor Bojnanský,"SMER-SD, KDH"
Boľ,Atila Bohács,SIEŤ
Boldog,Alojz Časný,NEKA
Boleráz,Pavol Mackovčín,NEKA
Bolešov,Martin Rác,"SZ, SMER-SD"
Boliarov,František Hlavatý,SMER-SD
Boľkovce,Peter Kamenský,NEKA
Borcová,Marcela Pavlásková,NEKA
Borčany,Jaroslav Kopčan,NEKA
Borčice,Anton Fabuš,SMER-SD
Borinka,Milan Maxian,SMER-SD
Borová,Blanka Matovičová,NEKA
Borovce,Ivan Šiška,SMER-SD
Borský Mikuláš,Vladimír Bízek,"KDH, SDKÚ-DS"
Borský Svätý Jur,Anna Kratochvílová,NEKA
Borša,Anna Tünde Vargová,NEKA
Bory,Ladislav Szúdy,NEKA
Bošáca,Daniel Juráček,NEKA
Bošany,Branislav Pajda,NEKA
Boťany,Dionýz Szabó,NEKA
Bottovo,Andrea Baláková,NEKA
Bôrka,Vojtech Ičo,SMK-MKP
Bracovce,Ivana Kolesnáčová,NEKA
Branovo,Andrea Šulíková,NEKA
Bratislava,Ivo Nesrovnal,NEKA
Braväcovo,Peter Baliak,SDKÚ-DS
Brdárka,Jaroslav Hric Jančo,SDS
Brehov,Ján Balog,"KDH, SDKÚ-DS"
Brehy,Juraj Tencer,SMER-SD
Brekov,Peter Mihaľko,NEKA
Brestov,Ľudmila Nováková,NEKA
Brestov,Jozef Šoltés,SMER-SD
Brestov nad Laborcom,Ján Zubaľ,SMER-SD
Brestovany,Ondrej Kuhajda,NEKA
Brestovec,Dušan Duga,NEKA
Brestovec,Peter Tóth,NEKA
Bretejovce,Rastislav Varga,SMER-SD
Bretka,Anna Giczeiová,SMK-MKP
Breza,Ladislav Matejčík,NEKA
Brezany,Iveta Brezianská,NEKA
Brezina,Magdaléna Balogová,SMER-SD
Breziny,Ondrej Frlajs,SMER-SD
Breznica,Slavomír Brendza,"SDKÚ-DS, KDH, SIEŤ, MOST - HÍD, NOVA"
Breznička,Branislav Knechta,NEKA
Breznička,Monika Leľová,NOVA
Brezno,Tomáš Abel,NEKA
Brezolupy,Jarmila Hrúzová,SMER-SD
Brezov,Jozef Kristiňák,KDH
Brezová pod Bradlom,Eva Ušiaková,SMER-SD
Brezovec,Juraj Slivka,SMER-SD
Brezovica,Marián Ujmiak,KDH
Brezovica,Jozef Hodoši,SIEŤ
Brezovička,Peter Tomčufčík,NEKA
Brezovka,Peter Bučko,SIEŤ
Brhlovce,Danuše Francisciová,SMER-SD
Brieštie,Žaneta Lichnerová,SMER-SD
Brodské,Anna Krídlová,NEKA
Brodzany,Anton Zima,SMER-SD
Brunovce,Júlia Masárová,NEKA
Brusnica,Tatiana Szabóová,SMER-SD
Brusník,Zuzana Mališová,SMER-SD
Brusno,Viera Krakovská,NEKA
Brutovce,Jozef Komara,"KDH, SMER-SD"
Bruty,Alexander Hubač,MOST - HÍD
Brvnište,Dagmar Mikudíková,"SMER-SD, KDH"
Brzotín,Pavol Gášpár,SMK-MKP
Buclovany,Miroslav Sabol,NEKA
Búč,Ján Karkó,NEKA
Bučany,Šebestian Lančarič,NEKA
Budča,František Moravec,"SMER-SD, SDS"
Budikovany,Jana Hronecová,NEKA
Budimír,Vojtech Staňo,SMER-SD
Budiná,Marian Čerpák,"SMER-SD, SNS, 99 % - občiansky hlas"
Budince,Lóránt Juhász,NEKA
Budiš,Ivana Erteľová,SMER-SD
Budkovce,Ján Lörinc,NEKA
Budmerice,Jozef Savkuliak,NEKA
Buglovce,Vincent Koňak,"SDKÚ-DS, KDH, SIEŤ"
Buková,Miloš Herceg,NEKA
Bukovce,Jaroslav Palička,SMER-SD
Bukovec,Marcela Pavesková,NEKA
Bukovec,Anton Vyšnický,NEKA
Bukovina,Pavol Debnár,SMER-SD
Bulhary,Dezider Szakó,SMK-MKP
Bunetice,Peter Taiš,SMER-SD
Bunkovce,Jana Dzurjová,SMER-SD
Bušince,Zoltán Végh,NEKA
Bušovce,Daniel Jurek,NEKA
Buzica,Jozef Mohňanský,"SMK-MKP, MOST - HÍD, SMER-SD"
Bystrá,Marian Alberty,NEKA
Bystrá,Božena Korečková,SMER-SD
Bystrany,František Žiga,SRK
Bystré,Ľubomír Hreha,NEKA
Bystričany,Vojtech Bartoš,"SMER-SD, SIEŤ"
Bystrička,Zdenka Maršalová,NEKA
Byšta,Andrej Beľuš,KDH
Bytča,Miroslav Minárčik,SMER-SD
Bzenica,Marek Kováč,NEKA
Bzenov,Štefan Rafajlovič,SIEŤ
Bzince pod Javorinou,Alena Šoltysová,NEKA
Bziny,Ján Beňuš,"SDKÚ-DS, SIEŤ, SNS"
Bzovík,Boris Sedmák,NEKA
Bzovská Lehôtka,Martin Kubík,SDS
Bžany,Mária Kasičová,NEKA
Cabaj-Čápor,Jozef Ligač,SMER-SD
Cabov,Viliam Popaďák,NEKA
Cakov,Karol Bari,SMK-MKP
Cejkov,Ladislav Slovjak,"SMER-SD, KDH, SDKÚ-DS, SMK-MKP"
Cernina,Helena Madzinová,SMER-SD
Cerová,Ján Čerešník,NEKA
Cerovo,Margita Boďová,SMER-SD
Cestice,Róbert Grešo,"SMER-SD, MOST - HÍD"
Cífer,Maroš Sagan,"KDH, NOVA, SDKÚ-DS"
Cigeľ,Štefan Mjartan,SMER-SD
Cigeľka,Ľudovít Kravec,"SMER-SD, SDKÚ-DS"
Cigla,Ján Bodrucký,"SMER-SD, SDKÚ-DS"
Cimenná,Peter Vanek,SNS
Cinobaňa,Jozef Melicher,NEKA
Čab,Eva Andacká,NEKA
Čabalovce,Helena Zjanová,SMER-SD
Čabiny,Milan Moroz,SMER-SD
Čabradský Vrbovok,Ján Sliacky,NEKA
Čadca,Milan Gura,"SMER-SD, KDH, SNS, SIEŤ, NOVA, SaS, SDKÚ-DS, KDS"
Čachtice,Michal Balala,NEKA
Čajkov,Eva Uhnáková,SMER-SD
Čaka,Ludovit Viglaš,"KDH, SNS, SMER-SD"
Čakajovce,Milan Greguš,"SNS, SMER-SD"
Čakanovce,Vojtech Bodor,SMER-SD
Čakanovce,Emil Imro,SMER-SD
Čakany,Lívia Bugárová,NEKA
Čaklov,Andrej Dragula,SMER-SD
Čalovec,Zoltán Molnár,NEKA
Čamovce,Pavel Urbančok,NEKA
Čaňa,Michal Rečka,SMER-SD
Čaradice,Vladislav Uličný,"SMER-SD, KDH"
Čáry,Martin Královič,NEKA
Častá,Mária Garajová,NEKA
Častkov,Eva Černeková,NEKA
Častkovce,Dušan Bublavý,SMER-SD
Čata,Ján Varga,NEKA
Čataj,Marta Tušová,NEKA
Čavoj,Ján Halaška,NEKA
Čebovce,Henrik Tóth,SMK-MKP
Čečehov,Stanislav Mráz,SMER-SD
Čečejovce,Július Pelegrin,NEKA
Čechy,Jozef Baranovič,SMER-SD
Čechynce,Róbert Kupeček,NEKA
Čekovce,Milan Gregáň,NEKA
Čeľadice,Anton Laca,SMER-SD
Čeľadince,Milan Moravka,SNS
Čeláre,Vojtech Ádám,MOST - HÍD
Čelkova Lehota,Juraj Čelko,SMER-SD
Čelovce,Ján Petroch,SMER-SD
Čelovce,Ján Kožlej,SMER-SD
Čeľovce,Jana Sabóvá,KDH
Čenkovce,Jozef Karika,NEKA
Čereňany,Ján Mokrý,SNS
Čerenčany,Zuzana Študencová,NEKA
Čerhov,Pavol Balogh,SMER-SD
Čerín,Pavel Kmeť,SMER-SD
Čermany,Radovan Bobula,NEKA
Černík,Ľudovít Kuťka,"SMER-SD, KDH"
Černina,Silvia Žinčáková,SMER-SD
Černochov,Angela Kálmánová,NEKA
Čertižné,Peter Tričák,NEKA
Červená Voda,Pavol Džačovský,NEKA
Červeňany,Radoslav Palášthy,SMER-SD
Červenica,Marta Pavlinská,SMER-SD
Červenica pri Sabinove,Pavol Spodník,SMER-SD
Červeník,Marián Mihálik,SMER-SD
Červený Hrádok,Bohumír Šabík,NEKA
Červený Kameň,Jozef Bartoš,KDH
Červený Kláštor,Štefan Džurný,SMER-SD
Čičarovce,Imrich Varga,SMK-MKP
Čičava,Mária Nehilová,NEKA
Čičmany,Natália Dubnicayová,SMER-SD
Číčov,Csaba Földes,SMK-MKP
Čierna,Ladislav Jámbor,SMER-SD
Čierna Lehota,Dušan Horák,SNS
Čierna Lehota,Iveta Potočná,SDS
Čierna nad Tisou,Marta Vozáriková,"SMER-SD, MOST - HÍD"
Čierna Voda,Zuzana Csadyová,MOST - HÍD
Čierne,Pavol Gomola,"SMER-SD, KDH, SNS"
Čierne Kľačany,Milan Švec,SMER-SD
Čierne nad Topľou,Vladislav Dvorjak,NEKA
