"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Sebedražie,Dana Kolláriková,NEKA
Seč,Anton Vrecko,NEKA
Šútovce,Miroslav Rajčo,NEKA
Temeš,Oľga Fakanová,SMER-SD
Tužina,Miroslav Dzina,NEKA
Valaská Belá,Miloš Cúcik,"SMER-SD, NÁRODNÁ KOALÍCIA"
Veľká Čausa,Nikola Pekárová,SNS
Zemianske Kostoľany,Jana Školíková,NEKA
Bohunice,Peter Hajdúch,NEKA
Bolešov,Martin Rác,"SZ, Progresívne Slovensko"
Borčice,Ľubica Hasidlová,SMER-SD
Červený Kameň,Alena Geregová,NEKA
Dubnica nad Váhom,Peter Wolf,NEKA
Dulov,Jozef Šamaj,NEKA
Horná Poruba,Milan Staňo,SNS
Ilava,Viktor Wiedermann,NEKA
Kameničany,Igor Daško,SNS
Košeca,Radomír Brtáň,NEKA
Košecké Podhradie,Rastislav Čepák,SMER-SD
Krivoklát,Mária Prekopová,NEKA
Ladce,Jaroslav Koyš,NEKA
Mikušovce,Eva Holbová,NEKA
Nová Dubnica,Peter Marušinec,"SMER-SD, SNS"
Pruské,Viliam Cíbik,NEKA
Sedmerovec,Pavol Tichý,NEKA
Slavnica,Anna Prekopová,KDH
Tuchyňa,Rastislav Krajčík,KDH
Vršatské Podhradie,Peter Remiš,SMER-SD
Zliechov,Anton Miko,"SMER-SD, SNS"
Adamovské Kochanovce,Michal Križan,NEKA
Bobot,Danka Ďuriačová,SMER-SD
Dolná Poruba,Miroslav Kopčan,SNS
Dolná Súča,Rudolf Pleva,NEKA
Drietoma,Jaroslav Mego,SMER-SD
Dubodiel,Anton Prechádzka,NEKA
Horná Súča,Juraj Ondračka,NEKA
Horňany,Stanislav Jurák,NEKA
Horné Srnie,Jozef Húserka,NEKA
Hrabovka,Eva Mráziková,NEKA
Chocholná - Velčice,Ľubomír Škriečka,NEKA
Ivanovce,Mária Hládeková,SMER-SD
Kostolná - Záriečie,Peter Pilko,NEKA
Krivosúd - Bodovka,Richard Kubáň,NEKA
Melčice - Lieskové,Katarína Remencová,NEKA
Mníchova Lehota,Jozef Kováč,NEKA
Motešice,Martin Mach,NEKA
Nemšová,Miloš Mojto,NEKA
Neporadza,Ján Haninec,NEKA
Omšenie,Alojz Marček,NEKA
Opatovce,Iveta Mondeková,NEKA
Petrova Lehota,Radko Rožánek,SMER-SD
Selec,Stanislav Svatik,NEKA
Skalka nad Váhom,Anton Horečný,NEKA
Soblahov,Marian Hudec,NEKA
Svinná,Anna Sýkorová,NEKA
Štvrtok,Pavol Habdák,SMER-SD
Trenčianska Teplá,Slavomíra Propperová,NOVA
Trenčianska Turná,Peter Mikula,NEKA
Trenčianske Jastrabie,Marek Brožek,NEKA
Trenčianske Mitice,Jana Šebáňová,SNS
Trenčianske Stankovce,Martin Markech,NEKA
Trenčianske Teplice,Zuzana Frajková Ďurmeková,NEKA
Trenčín,Richard Rybníček,NEKA
Veľká Hradná,Anna Petríková,SNS
Veľké Bierovce,Silvia Masárová,NEKA
Zamarovce,Peter Minárik,NEKA
Bajč,Oto Virág,MOST - HÍD
Bátorove Kosihy,Roland Labancz,SMK-MKP
Bodza,Zuzana Fitosová,MOST - HÍD
Bodzianske Lúky,Monika Aradi,SMK-MKP
Brestovec,Peter Tóth,MOST - HÍD
Búč,Ján Karkó,NEKA
Čalovec,Zoltán Molnár,NEKA
Číčov,Csaba Földes,SMK-MKP
Dedina Mládeže,Gabriela Gönczölová,MOST - HÍD
Dulovce,Andrej Hamran,NEKA
Holiare,Juraj Kürthy,SMK-MKP
Hurbanovo,Peter Závodský,NEKA
Chotín,František Magyari,MOST - HÍD
Imeľ,František Tyukos,NEKA
Iža,István Domin,SMK-MKP
Kameničná,Dezider Pataki,SMK-MKP
Klížska Nemá,Rozália Szalay,SMK-MKP
Kolárovo,Árpád Horváth,SMK-MKP
Komárno,Béla Keszegh,NEKA
Kravany nad Dunajom,Gabriel Duka,NEKA
Lipové,Dáša Kovácsová,NEKA
Marcelová,Ervin Varga,"SMK-MKP, MOST - HÍD"
Martovce,István Keszeg,SMK-MKP
Moča,Eszter Tóth,NEKA
Modrany,Štefan Édes,NEKA
Mudroňovo,Ľubomír Maťko,NEKA
Nesvady,Zoltán Molnár,NEKA
Okoličná na Ostrove,Iveta Feketeová,NEKA
Patince,Rozália Tóthová,MOST - HÍD
Pribeta,Norbert Zsitva,SMK-MKP
Radvaň nad Dunajom,Ľubomír Púchovský,NEKA
Sokolce,František Mayer,NEKA
Svätý Peter,Jozef Jobbágy,MOST - HÍD
Šrobárová,Anna Šušoliaková,KDH
Tôň,Imrich Bugár,NEKA
Trávnik,Karol Farkas,MOST - HÍD
Veľké Kosihy,Lajos Csóka,MOST - HÍD
Virt,Ladislav Lengyel,MOST - HÍD
Vrbová nad Váhom,Peter Ilčík,NEKA
Zemianska Olča,Dezső Magyarics,NEKA
Zlatná na Ostrove,Eva Varjúová,MOST - HÍD
Bajka,Alojz Štrba,"SMER-SD, MOST - HÍD"
Bátovce,Peter Burčo,"SMER-SD, MOST - HÍD, SNS"
Beša,Miroslav Černák,SMK-MKP
Bielovce,Irena Skladanová,"MOST - HÍD, SMER-SD"
Bohunice,Vladimíra Rišková,NEKA
Bory,Štefan Mirják,NEKA
Brhlovce,Danuše Francisciová,"SMER-SD, MOST - HÍD"
Čajkov,Miloš Seneši,NEKA
Čaka,Ludovít Viglaš,"SMER-SD, MOST - HÍD, SNS"
Čata,Marian Csákvári,SMK-MKP
Demandice,Attila Kürthy,MOST - HÍD
Devičany,Dana Lančaričová,SNS
Dolná Seč,Zdenka Furdová,NEKA
Dolné Semerovce,Milan Rafael,NEKA
Dolný Pial,Róbert Potocký,"SMER-SD, MOST - HÍD"
Domadice,Antónia Foltánová,"SMER-SD, MOST - HÍD"
Drženice,Slavomír Baláž,"SMER-SD, MOST - HÍD, SNS"
Farná,Vlasta Csomorová,SMK-MKP
Hokovce,Juraj Kis,SMK-MKP
Hontianska Vrbica,Karol Pilinský,"MOST - HÍD, SNS"
Hontianske Trsťany,Jozef Gálus,SNS
Horná Seč,Edita Moravská,SaS
Horné Semerovce,Tomáš Pásztor,NEKA
Horné Turovce,Peter Varga,NEKA
Horný Pial,Ľudovít Húdik,"SNS, SMER-SD, MOST - HÍD"
Hrkovce,Gejza Nagy,SMK-MKP
Hronovce,Róbert Csudai,"MOST - HÍD, SMER-SD"
Hronské Kľačany,Jozef Chudý,NEKA
Hronské Kosihy,Jozef Seneši,"SMER-SD, SNS"
Iňa,Jozef Rosipal,"SMER-SD, MOST - HÍD"
Ipeľské Úľany,Magdalena Tóthová,SMK-MKP
Ipeľský Sokolec,Arnold Ozsvald,NEKA
Jabloňovce,Igor Hindi,NEKA
Jesenské,Eva Mozoličová,NEKA
Jur nad Hronom,Jozef Kovács,MOST - HÍD
Kalná nad Hronom,Ladislav Éhn,"SMER-SD, MOST - HÍD, KSS, SMK-MKP"
Keť,Attila Farkas,SMK-MKP
Kozárovce,Bystrík Ižold,"KDH, SNS, Demokrati Slovenska"
Krškany,Peter Kováčik,NEKA
Kubáňovo,Zsolt Német,SMK-MKP
Kukučínov,Ľuba Tóthová,"SMER-SD, MOST - HÍD"
Kuraľany,Dušan Mésároš,"SMER-SD, SNS"
Levice,Ján Krtík,NEKA
Lok,Ján Márföldi,"SMER-SD, MOST - HÍD, SNS"
Lontov,Karol Konczi,NEKA
Lula,Mária Farkašová,"SNS, SMER-SD"
Málaš,Karol Streda,MOST - HÍD
Malé Kozmálovce,Ladislav Pisch,"SMER-SD, MOST - HÍD, SNS"
Malé Ludince,Beáta Csenger,NEKA
Mýtne Ludany,Štefan Mojzeš,MOST - HÍD
Nová Dedina,Pavol Novák,"SMER-SD, MOST - HÍD, SNS"
Nový Tekov,Ladislav Nagy,"SMER-SD, MOST - HÍD, SNS"
Nýrovce,Zoltán Fekete,MOST - HÍD
Ondrejovce,Jozef Bielokostolský,NEKA
Pastovce,Oto Mészáros,MOST - HÍD
Pečenice,Štefan Valko,KDH
Plášťovce,Peter Köpöncei,SMK-MKP
Plavé Vozokany,Kornélia Sádovská,NEKA
Podlužany,Ida Kováčová,"SMER-SD, SNS"
Pohronský Ruskov,Ľudovít Nagy,SMK-MKP
Pukanec,Ján Rievaj,"SMER-SD, MOST - HÍD"
Rybník,Daniela Trňanová,"SNS, KDH"
Santovka,Ľubomír Lőrincz,"SMER-SD, MOST - HÍD, SNS"
Sazdice,Zoltán Srna,SMK-MKP
Sikenica,Július Maďar,MOST - HÍD
Slatina,Árpád Bazsó,SMK-MKP
Starý Hrádok,Helena Szabóová,"SMER-SD, MOST - HÍD, SNS"
Starý Tekov,Peter Štefan,"SMER-SD, MOST - HÍD, SNS"
Šahy,Štefan Gregor,NEKA
Šalov,Renáta Kassaiová,"MOST - HÍD, SMER-SD"
Šarovce,Magdaléna Jónášová,NEKA
Tehla,Tibor Taldík,NEKA
Tekovské Lužany,Marián Kotora,"SMK-MKP, SMER-SD"
Tekovský Hrádok,Vojtech Ožvald,NEKA
Tlmače,Miroslav Kupči,SNS
Tupá,Erika Holomeková,NEKA
Turá,Margaréta Bogárová,SME RODINA - Boris Kollár
Uhliská,Ferdinand Ďurdík,SNS
Veľké Kozmálovce,Tomáš Báťa,NEKA
Veľké Ludince,Zita Cseri,NEKA
Veľké Turovce,Jaroslav Péter,"SMER-SD, MOST - HÍD, SNS"
Veľký Ďur,Peter Benko,"SMER-SD, SNS"
Vyškovce nad Ipľom,Ágnes Antal Nyustin,NEKA
Vyšné nad Hronom,Eva Madarásová,"SMER-SD, MOST - HÍD, SMK-MKP"
Zalaba,Melinda Bögi Pathó,SMK-MKP
Zbrojníky,Emőke Fillová,NEKA
Želiezovce,Ondrej Juhász,NEKA
Žemberovce,Slavomír Bárczy,NEKA
Žemliare,Andrea Gubíková,SMK-MKP
Alekšince,Radoslav Ťapušík,NEKA
Báb,Katarína Töröková,SMER-SD
Babindol,Peter Ďurica,"MOST - HÍD, SMER-SD"
Bádice,Stanislav Gál,SNS
Branč,Július Kurča,NEKA
Cabaj - Čápor,Jozef Ligač,SMER-SD
Čab,Jozef Mikuška,NEKA
Čakajovce,Milan Greguš,"SNS, SMER-SD"
Čechynce,Róbert Kupeček,NEKA
Čeľadice,Anton Laca,SMER-SD
Čifáre,Július Czapala,NEKA
Dolné Lefantovce,Miloslav Krajčík,SMER-SD
Dolné Obdokovce,Marián Paulisz,NEKA
Golianovo,Ľuboš Kolárik,SMER-SD
Horné Lefantovce,Martin Cibula,NEKA
Hosťová,Miroslav Brath,"MOST - HÍD, SMER-SD"
Hruboňovo,Vladimír Fabo,NEKA
Ivanka pri Nitre,Jana Maršálková,NEKA
Jarok,Stanislav Sťahel,NEKA
Jelenec,Ivan Varga,NEKA
Jelšovce,Ladislav Hroššo,NEKA
Kapince,Margita Tabačeková,SMER-SD
Klasov,Ján Balázs,SMER-SD
Kolíňany,Róbert Balkó,NEKA
Lehota,Radoslav Kriváček,NEKA
Lúčnica nad Žitavou,Ivan Michna,NEKA
Ľudovítová,Renáta Kováčová,SMER-SD
Lukáčovce,Igor Cok,NEKA
Lužianky,Jozef Bojda,SNS
Malé Chyndice,Eva Belančíková,SMER-SD
Malé Zálužie,Veronika Kubíková,SMER-SD
Malý Cetín,Leonidas Charizopulos,SMER-SD
Malý Lapáš,Peter Švec,NEKA
Melek,Ján Ferus,NEKA
Mojmírovce,Martin Palka,NEKA
Nitra,Marek Hattas,NEKA
Nitrianske Hrnčiarovce,Katarína Nagyová,NEKA
Nová Ves nad Žitavou,Mária Korčoková,NEKA
Nové Sady,Silvia Halvoníková,KDH
Paňa,Milan Korenči,SMER-SD
Podhorany,Magdaléna Bogyová,SMER-SD
Pohranice,Laura Prešinská,NEKA
Poľný Kesov,Ľubica Poluchová,NEKA
Rišňovce,Mário Machovec,NEKA
Rumanová,Jozef Jankovič,SMER-SD
Svätoplukovo,Ivan Lobodáš,SMER-SD
Štefanovičová,Gabriela Arpášová,SMER-SD
Štitáre,Zuzana Vinkovičová,"SMER-SD, MOST - HÍD, SNS"
Šurianky,Marek Peňaško,SMER-SD
Tajná,Gabriela Šplehová,SMER-SD
Telince,Róbert Szurdi,NEKA
Veľká Dolina,Vladimír Tulipán,NEKA
Veľké Chyndice,Csaba Farkas,SMER-SD
Veľké Zálužie,Milan Bíro,SMER-SD
Veľký Cetín,František Mészáros,NEKA
Veľký Lapáš,Katarína Babalová,NEKA
Vinodol,Peter Straňák,"SMER-SD, MOST - HÍD"
Vráble,Tibor Tóth,ŠANCA
Výčapy - Opatovce,Jozef Holúbek,NEKA
Zbehy,Adam Žákovič,NEKA
Žirany,Jozef Zsebi,"MOST - HÍD, SMER-SD, SNS"
Žitavce,Stanislav Strieška,SMER-SD
Beladice,Mário Žáčik,OKS
Čaradice,Vladislav Uličný,SMER-SD
Červený Hrádok,Miroslav Kráľ,NEKA
Čierne Kľačany,Milan Švec,SMER-SD
Hostie,Peter Štepianský,SNS
Hosťovce,Silvia Kukučková,NEKA
Choča,Alena Záhoreczová,SMER-SD
Jedľové Kostoľany,Dušan Kazimír,SMER-SD
Kostoľany pod Tribečom,Mária Segíňová,SMER-SD
Ladice,Alžbeta Patayová,"SMER-SD, MOST - HÍD"
Lovce,František Richter,SMER-SD
Machulince,Bohumil Bielik,NEKA
Malé Vozokany,Jana Ďurčeková,SNS
Mankovce,Milan Vrábel,NEKA
Martin nad Žitavou,Slavomír Fabian,NEKA
Nemčiňany,Jozef Keseg,SMER-SD
Neverice,Milan Kováč,SNS
Nevidzany,Kristína Bónová,SMER-SD
Obyce,Milan Garaj,SNS
Skýcov,Tomáš Kolembus,NEKA
Sľažany,Jozef Magát,"SMER-SD, SNS"
Slepčany,Ján Határ,SMER-SD
Tekovské Nemce,Erika Valkovičová,SMER-SD
Tesárske Mlyňany,Štefan Valkovič,NEKA
Topoľčianky,Juraj Mesko,SMER-SD
Velčice,Ľubomír Gahír,"SMER-SD, SNS"
Veľké Vozokany,Justína Pálková,NEKA
Vieska nad Žitavou,Štefan Mladý,SMER-SD
Volkovce,Ondrej Kozolka,NEKA
Zlaté Moravce,Dušan Husár,"SMER-SD, SNS"
Zlatno,Martin Zeman,NEKA
Žikava,Jozef Broniš,NEKA
Žitavany,Edita Grzybová,SMER-SD
Andovce,Peter Puss,SMK-MKP
Bajtava,Jozef Benkó,NEKA
Bánov,Miloš Rybár,NEKA
Bardoňovo,Tibor Černák,NEKA
Belá,Klaudia Pintérová,NEKA
Bešeňov,Gabriel Timoranský,NEKA
Bíňa,Szabolcs Kremmer,NEKA
Branovo,Andrea Šulíková,NEKA
Bruty,Alexander Hubač,MOST - HÍD
Čechy,Jozef Baranovič,SMER-SD
Černík,Peter Stuchlý,NEKA
Dedinka,Viera Belanová,SMER-SD
Dolný Ohaj,Ivan Solár,NEKA
Dubník,Jozef Ostrodický,NEKA
Dvory nad Žitavou,Branislav Becík,NEKA
Gbelce,František Szőcs,NEKA
Hul,Pavol Guláš,"SNS, SMER-SD"
Chľaba,Gregor Izrael,NEKA
Jasová,Ladislav Polák,NEKA
Jatov,Adriana Matúšeková,SMER-SD
Kamenica nad Hronom,Ján Elzer,SMER-SD
Kamenín,Jozef Grman,NEKA
Kamenný Most,Katarína Heiszlerová,NEKA
Kmeťovo,Jozef Sádovský,NEKA
Kolta,Ľubor Krnčan,SNS
Komjatice,Peter Hlavatý,NEKA
Komoča,Imrich Lukács,NEKA
Leľa,Alexander Mezei,NEKA
Lipová,Tatiana Ölvecká,NEKA
Ľubá,Silvia Esztergályosová,NEKA
Malá nad Hronom,Rita Pásztorová,MOST - HÍD
Malé Kosihy,Attila Pszár,NEKA
Maňa,Igor Sádovský,NEKA
Michal nad Žitavou,Peter Porubský,NEKA
Mojzesovo,Jozef Čunderlík,SMER-SD
Mužla,Iván Farkas,SMK-MKP
Nána,Dezider Molnár,NEKA
Nová Vieska,Valéria Geri,SMK-MKP
Nové Zámky,Otokar Klein,NEKA
Obid,Monika Vajda,NEKA
Palárikovo,Ľubica Karasová,"SMER-SD, SNS"
Pavlová,Monika Górová,SMK-MKP
Podhájska,Roman Ivan,NEKA
Pozba,Katarína Ivaničová,NEKA
Radava,Marian Chrenko,NEKA
Rastislavice,Miroslav Juhász,SMER-SD
Rúbaň,Štěpánka Zacharová,NEKA
Salka,Silvia Cagalová,NEKA
Semerovo,Milan Mikulec,SNS
Sikenička,Katarína Grófová,SMK-MKP
Strekov,Ján Téglás,SMK-MKP
Svodín,Szabolcs Méri,SMK-MKP
Šarkan,Beata Székelyová,NEKA
Štúrovo,Eugen Szabó,NEKA
Šurany,Marek Oremus,SMER-SD
Trávnica,Emil Ivan,NEKA
Tvrdošovce,Marián Tóth,MOST - HÍD
Úľany nad Žitavou,Rudolf Frýželka,DOMA DOBRE
Veľké Lovce,Libor Kráľ,SMER-SD
Veľký Kýr,Judita Valašková,NEKA
Vlkas,Martina Horváthová,NEKA
Zemné,János Bób,SMK-MKP
Diakovce,Kristína Jakócsová,NEKA
Dlhá nad Váhom,Pavol Tóth,NEKA
Hájske,Jaroslav Bennár,NEKA
Horná Kráľová,Emil Rábek,NEKA
Kráľová nad Váhom,Ferenc Bergendi,NEKA
Močenok,Roman Urbánik,"SMER-SD, SNS"
Neded,Henrieta Selmecziová,NEKA
Selice,Igor Mandák,NEKA
Šaľa,Jozef Belický,NEKA
Tešedíkovo,Ildikó Kőrösi,SMK-MKP
Trnovec nad Váhom,Oliver Berecz,NEKA
Vlčany,János Restár,SMK-MKP
Žihárec,Alajos Baranyay,SMK-MKP
Ardanovce,Maroš Barta,SNS
Belince,Ľubomír Varga,SMER-SD
Biskupová,Stanislav Knížat,SNS
Blesovce,,
Bojná,Jozef Stankovský,NEKA
Čeľadince,Daniel Hučko,SMER-SD
Čermany,Radovan Bobula,"SNS, SMER-SD"
Dvorany nad Nitrou,František Košecký,NEKA
Hajná Nová Ves,Ľuboš Koma,SMER-SD
Horné Chlebany,Jozef Ladický,SMER-SD
Horné Obdokovce,Marián Beneš,SNS
Horné Štitáre,Martin Fulka,NEKA
Hrušovany,Jozef Benca,SMER-SD
Chrabrany,Jana Šupová,NEKA
Jacovce,Jaroslav Božik,SNS
Kamanová,Peter Hudec,SMER-SD
Koniarovce,Miroslav Konštiak,NEKA
Kovarce,Andrej Čopík,KDH
Krnča,Ľuboš Meluš,"SMER-SD, SNS"
Krtovce,Juraj Oravec,"SMER-SD, SNS"
Krušovce,Martin Zdychavský,NEKA
Kuzmice,Peter Mojžiš,SMER-SD
Lipovník,Dušan Turčan,"SMER-SD, SNS"
Ludanice,Matúš Dočkalik,NEKA
Lužany,Juraj Halás,NEKA
Malé Ripňany,Pavol Gubáň,"SMER-SD, SNS"
Nemčice,Jozef Mokoš,"SMER-SD, SNS"
Nemečky,Viera Uhlárová,NEKA
Nitrianska Blatnica,Michal Toman,SMER-SD
Nitrianska Streda,Mária Majtánová,NEKA
Norovce,Peter Doval,KDH
Oponice,Milan Gál,NEKA
Orešany,Róbert Kopáčik,SNS
Podhradie,Milan Štefkovič,KDH
Prašice,Erika Nemešová,SMER-SD
Práznovce,Dušan Macho,SNS
Preseľany,Juraj Trsťan,NEKA
Radošina,Marta Kolková,SMER-SD
Rajčany,Mária Švecová,NEKA
Solčany,Juraj Soboňa,SNS
Solčianky,Juraj Krištof,NEKA
Súlovce,Gabriel Svorad,"SMER-SD, SNS"
Svrbice,Vladimír Hromádka,SMER-SD
Šalgovce,Tibor Púček,"SMER-SD, SNS"
Tesáre,Daniel Bago,KDH
Topoľčany,Alexandra Gieciová,NEKA
Tovarníky,Alena Ščibrányiová,NEKA
Tvrdomestice,Jozef Beňo,NEKA
Urmince,Matúš Hubinský,SNS
Veľké Dvorany,Ladislav Jančovič,SMER-SD
Veľké Ripňany,Jozef Krištof,NEKA
Velušovce,Rastislav Zemánik,NEKA
Vozokany,Jaroslav Bazala,SMER-SD
Závada,Ján Bajzík,KDH
Čadca,Milan Gura,NEKA
Čierne,Pavol Gomola,"SNS, KDH"
Dlhá nad Kysucou,Helena Dzurinová,"SMER-SD, SNS"
Dunajov,Milada Chlastáková,NEKA
Klokočov,Jana Foldinová,NEKA
Klubina,Božena Poliačková,"SMER-SD, SNS"
Korňa,Marianna Bebčáková,NEKA
Krásno nad Kysucou,Jozef Grapa,NEKA
Makov,Martin Pavlík,NEKA
Nová Bystrica,Jozef Balačin,NEKA
Olešná,Štefan Cudrák,NÁRODNÁ KOALÍCIA
Oščadnica,Marián Plevko,NEKA
Podvysoká,Ján Opial,"SMER-SD, SNS"
Radôstka,Jaroslav Fekula,NEKA
Raková,Anton Heglas,NEKA
Skalité,Jozef Cech,"SMER-SD, SNS"
Stará Bystrica,Ján Podmanický,"SMER-SD, SNS"
Staškov,Ladislav Šimčisko,"SMER-SD, SNS"
Svrčinovec,Renáta Majchráková,NEKA
Turzovka,Ľubomír Golis,"SMER-SD, SNS"
Vysoká nad Kysucou,Anton Varecha,"SMER-SD, SNS"
Zákopčie,Ján Slaninák,NEKA
Zborov nad Bystricou,Juraj Hlavatý,"SMER-SD, SNS"
Bziny,Miriam Mokošová,NEKA
Dlhá nad Oravou,Ján Kamas,NEKA
Dolný Kubín,Ján Prílepok,NEKA
Horná Lehota,,
Chlebnice,Anton Staš,NEKA
Istebné,Lýdia Fačková,SNS
Jasenová,Rajmund Bradík,NEKA
Kraľovany,Ľuboš Palovič,NEKA
Krivá,Juraj Leginus,NEKA
Leštiny,Miroslav Kovalčík,SMER-SD
Malatiná,Zdenko Kubáň,KDH
Medzibrodie nad Oravou,Michal Janota,KDH
Oravská Poruba,Vladimír Kubišta,NEKA
Oravský Podzámok,Jozef Záhora,NEKA
Osádka,Miroslav Jurák,SMER-SD
Párnica,Ján Hančiak,SNS
Pokryváč,Miroslav Lupták,NEKA
Pribiš,Rastislav Suroviak,SNS
Pucov,Metod Sojčák,NEKA
Sedliacka Dubová,Ladislav Tomáň,"SNS, SMER-SD"
Veličná,Daniel Laura,NEKA
Vyšný Kubín,Antonín Zámečník,NEKA
Zázrivá,Matúš Mních,SMER-SD
Žaškov,Milan Pavlovčík,NEKA
Beňadiková,Ján Martinovič,NEKA
Bobrovček,Ladislav Staroň,NEKA
Bobrovec,Ladislav Sedlák,"KDH, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS"
Bobrovník,Jana Bažíková,NEKA
Bukovina,Viera Maršalková,SMER-SD
Demänovská Dolina,Ľubomíra Klepáčová,NEKA
Dúbrava,Vladimír Janičina,NEKA
Galovany,Miroslav Kubáň,NEKA
Gôtovany,Jozef Cút,NEKA
Huty,Juraj Staš,SMER-SD
Hybe,Karol Pavlíček,NEKA
Ižipovce,Karol Kováč,NEKA
Jakubovany,Milan Zuzaniak,NEKA
Jalovec,,
Jamník,Alena Vlčková,NEKA
Konská,Miroslav Kamhal,NEKA
Kráľova Lehota,Vladimír Kapríni,NEKA
Kvačany,Jozef Grúň,NEKA
Lazisko,,
Liptovská Anna,Ivan Bella,NEKA
Liptovská Kokava,Július Porubän,SMER-SD
Liptovská Porúbka,Jana Gazdičová,NEKA
Liptovská Sielnica,Igor Guráň,SMER-SD
Liptovské Beharovce,Jozef Malý,SNS
Liptovské Kľačany,Ján Hollý,NEKA
Liptovské Matiašovce,Ján Jaňák,NEKA
Liptovský Hrádok,Branislav Tréger,NEKA
Liptovský Ján,Juraj Filo,NEKA
Liptovský Mikuláš,Ján Blcháč,"SMER-SD, SNS, NÁRODNÁ KOALÍCIA"
Liptovský Ondrej,Ľuboš Žubor,NEKA
Liptovský Peter,Anna Papajová,NEKA
Liptovský Trnovec,Karol Maťko,NEKA
Ľubeľa,Erik Gemzický,SNS
Malatíny,Jaroslav Podhorány,NÁRODNÁ KOALÍCIA
Malé Borové,Miroslav Kováč,NÁRODNÁ KOALÍCIA
Malužiná,Břetislav Chytil,NEKA
Nižná Boca,Silvia Skusilová,NEKA
Partizánska Ľupča,Ladislav Balážec,NEKA
Pavčina Lehota,Viliam Kupčo,NEKA
Pavlova Ves,Rudolf Tomko,SMER-SD
Podtureň,Marián Vojtík,SMER-SD
Pribylina,Milan Kohút,NEKA
Prosiek,Peter Hamráček,SMER-SD
Smrečany,Ladislav Hološ,KDH
Svätý Kríž,Dušan Matejka,NEKA
Trstené,Anna Naďová,ŠANCA
Uhorská Ves,Vladimír Multáň,SMER-SD
Vavrišovo,Ľubica Chlebová,NEKA
Važec,Milan Lištiak,SMER-SD
Veľké Borové,Kamil Jančura,KDH
Veterná Poruba,Desana Stromková,NEKA
Vlachy,Róbert Klubica,SNS
Východná,Pavel Krupa,NEKA
Vyšná Boca,Ľubica Trégerová,SMER-SD
Závažná Poruba,Pavel Beťko,NEKA
Žiar,Ján Zvara,NEKA
Belá - Dulice,Igor Kapusta,NEKA
Benice,Milan Remšík,SMER-SD
Blatnica,Karol Čičmanec,NEKA
Bystrička,Zdenka Maršalová,NEKA
Ďanová,Miroslav Ďanovský,NEKA
Diaková,Miroslav Haverla,NEKA
Dolný Kalník,Iveta Balšianková,NEKA
Dražkovce,Eva Gáborová,NEKA
Folkušová,Milan Sopóci,NEKA
Horný Kalník,Stanislav Rohoň,NEKA
Karlová,Adriana Malatová,SMER-SD
Kláštor pod Znievom,Erika Cintulová,NEKA
Košťany nad Turcom,Marián Bunganič,NEKA
Krpeľany,Jaroslav Kráľ,SMER-SD
Laskár,Lenka Janíková,SNS
Ležiachov,Katarína Michálková,NEKA
Lipovec,Jozef Mada,NEKA
Martin,Ján Danko,NEKA
Necpaly,Peter Majko,SNS
Nolčovo,Vladimír Mihalik,NEKA
Podhradie,Bohuslav Bella,SMER-SD
Príbovce,Erika Vrabcová,NEKA
Rakovo,Patrik Antal,NEKA
Ratkovo,Rastislav Frkáň,NEKA
Sklabiňa,Anna Silvestrová,NEKA
Sklabinský Podzámok,Božena Drobková,SMER-SD
Slovany,Marek Straka,SMER-SD
Socovce,Iveta Krupcová,DOMA DOBRE
Sučany,Martin Rybár,NEKA
Šútovo,Ľubomír Maďari,SMER-SD
Trebostovo,Ivan Trimaj,SMER-SD
Trnovo,Martin Buocik,NEKA
Turany,Dušan Novysedlák,NEKA
Turčianska Štiavnička,Peter Očka,DOMA DOBRE
Turčianske Jaseno,Rastislav Jesenský,NEKA
Turčianske Kľačany,Adriana Záborská,NEKA
Turčiansky Ďur,Viera Hanesová,NEKA
Turčiansky Peter,Ondrej Výbošťok,NEKA
Valča,Mária Ondráčková,NEKA
Vrícko,František Hideg,NEKA
Vrútky,Branislav Zacharides,NEKA
Záborie,Ján Záborský,NEKA
Žabokreky,Zuzana Valocká,DOMA DOBRE
Abramová,Ľubomír Hrivnák,NEKA
Blažovce,Marek Chorváth,NEKA
Bodorová,Jana Pagáčová,SNS
Borcová,Marcela Pavlásková,NEKA
Brieštie,Žaneta Lichnerová,SMER-SD
Budiš,Ivana Erteľová,SMER-SD
Čremošné,Zuzana Chorváthová,NEKA
Dubové,Milan Lettrich,NEKA
Háj,Erika Herčúthová,NEKA
Horná Štubňa,Ondrej Piški,NEKA
Ivančiná,Róbert Kleskeň,SMER-SD
Jasenovo,Ján Škorvánek,"SMER-SD, SNS"
Jazernica,Ivan Gejdoš,NEKA
Kaľamenová,Martina Mračková,NEKA
Liešno,Zdenka Judáková,SMER-SD
Malý Čepčín,Miroslava Sumková,DOMA DOBRE
Moškovec,,
Mošovce,Elena Krajčová,NEKA
Ondrašová,Ivana Frívaldská,NEKA
Rakša,Eva Gajdicová,DOMA DOBRE
Rudno,Zdena Lichnerová,NEKA
Sklené,Erika Lahutová,SMER-SD
Slovenské Pravno,,
Turček,Ján Teltsch,NEKA
Turčianske Teplice,Igor Hus,NEKA
