"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Horná Potôň,Tivadar Sidó,NEKA
Horné Mýto,Andrej Puss,MOST - HÍD
Horný Bar,Štefan Bodó,NEKA
Hubice,Mária Horváthová,NEKA
Hviezdoslavov,Marek Lackovič,Progresívne Slovensko
Jahodná,Jarmila Csiba,NEKA
Janíky,Lajos Berner,MOST - HÍD
Jurová,Gabriel Fekete,NEKA
Kľúčovec,Csaba Bognár,"SMK-MKP, MOST - HÍD"
Kostolné Kračany,Ladislav Gódány,"MOST - HÍD, SMK-MKP"
Kráľovičove Kračany,Zoltán Wurczell,"MOST - HÍD, SMK-MKP"
Kútniky,František Bokros,NEKA
Kvetoslavov,Zoltán Sojka,NEKA
Kyselica,Erika Orosz Ágošton,"MOST - HÍD, SMK-MKP"
Lehnice,František Szitási,NEKA
Lúč na Ostrove,Ladislav Kiss,MOST - HÍD
Macov,Ľudmila Láníková,NEKA
Mad,Gabriel László,"MOST - HÍD, SMER-SD, SMK-MKP"
Malé Dvorníky,Zoltán Marczell,MOST - HÍD
Medveďov,Ladislav Kulacs,SMK-MKP
Mierovo,Katarína Janikovicsová,SMK-MKP
Michal na Ostrove,Július Borbély,"SMK-MKP, MOST - HÍD, SMER-SD"
Ňárad,Jozef Lukács,"SMK-MKP, MOST - HÍD"
Nový Život,Tibor Fehér,SMK-MKP
Ohrady,Anikó Rabay,NEKA
Okoč,Ladislav Polák,"SMK-MKP, MOST - HÍD"
Oľdza,Ildikó Gyurcsiová,NEKA
Orechová Potôň,Szilárd Gálffy,NEKA
Padáň,Zoltán Szabó,"MOST - HÍD, SMK-MKP"
Pataš,Ernest Takács,NEKA
Potônske Lúky,Leonard Flaška,NEKA
Povoda,Alexander Csóka,NEKA
Rohovce,Zoltán László,NEKA
Sap,František Miklós,"MOST - HÍD, SMK-MKP"
Šamorín,Csaba Orosz,SMK-MKP
Štvrtok na Ostrove,Péter Őry,SMK-MKP
Topoľníky,László Bacsó,SMK-MKP
Trhová Hradská,Gergely Török,SMK-MKP
Trnávka,Attila Horváth,MOST - HÍD
Trstená na Ostrove,Zuzana Bónová,"MOST - HÍD, SMK-MKP"
Veľká Paka,Ivan Seňan ml.,NEKA
Veľké Blahovo,Júlia Gányovicsová,NEKA
Veľké Dvorníky,Ján Ürögi,NEKA
Veľký Meder,Gergő Holényi,NEKA
Vieska,Robert Mocsonoky,MOST - HÍD
Vojka nad Dunajom,Donald Álló,NEKA
Vrakúň,Štefan Fazekas,"SMK-MKP, MOST - HÍD, SMER-SD"
Vydrany,Ladislav Balódi,"MOST - HÍD, SMK-MKP"
Zlaté Klasy,Marek Rigó,RIS
Abrahám,Igor Németh,SMER-SD
Čierna Voda,Zuzana Csadyová,MOST - HÍD
Čierny Brod,,
Dolná Streda,Ľuboš Šúry,SMER-SD
Dolné Saliby,Ľudovít Kovács,SMK-MKP
Dolný Chotár,František Dora,MOST - HÍD
Galanta,Peter Paška,NEKA
Gáň,Denisa Ivančíková,NEKA
Horné Saliby,Pavol Dobosy,MOST - HÍD
Hoste,Ľuboš Karel,SNS
Jánovce,Jozef Čechovič,NEKA
Jelka,Gabriel Kiš,NEKA
Kajal,Lívia Farkasová,MOST - HÍD
Košúty,Zdenka Mačicová,NEKA
Kráľov Brod,Gergely Agócs,SMK-MKP
Malá Mača,František Hontvári,"SMK-MKP, MOST - HÍD"
Matúškovo,Marta Mészárosová,SMK-MKP
Mostová,Tibor Rózsár,NEKA
Pata,Jozef Berčík,KDH
Pusté Sady,Tomáš Nemeček,SMER-SD
Pusté Úľany,Henrich Čambál,SNS
Sereď,Martin Tomčányi,NEKA
Sládkovičovo,Anton Szabó,NEKA
Šalgočka,Helena Mesárošová,SMER-SD
Šintava,Stanislava Režnáková,NEKA
Šoporňa,Adrián Macho,NEKA
Tomášikovo,Zoltán Horváth,MOST - HÍD
Topoľnica,Zoltán Szilvási,NEKA
Trstice,Eva Kaczová,SMK-MKP
Váhovce,Adrián Kubica,NEKA
Veľká Mača,Štefan Lancz,MOST - HÍD
Veľké Úľany,František Gőgh,"MOST - HÍD, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS, SMK-MKP"
Veľký Grob,Viliam Rigo,NEKA
Vinohrady nad Váhom,Eva Hanusová,NEKA
Vozokany,Tamás Zupko,SMK-MKP
Zemianske Sady,Roman Súkeník,SMER-SD
Banka,Tatiana Julinyová,NEKA
Bašovce,Ľubomír Dekan,NEKA
Borovce,Ivan Šiška,NEKA
Dolný Lopašov,Mário Beblavý,NEKA
Drahovce,Miroslav Ledecký,NEKA
Dubovany,Miroslav Michalčík,NEKA
Ducové,Mária Koláriková,SMER-SD
Hubina,Jana Myjavcová,SMER-SD
Chtelnica,Ján Horváth,SMER-SD
Kočín - Lančár,Štefan Lányi,NEKA
Krakovany,František Klinovský,NEKA
Moravany nad Váhom,Peter Hulman,SMER-SD
Nižná,Kamil Mikuš,SMER-SD
Ostrov,Jozef Tkácz,NEKA
Pečeňady,Ladislav Boháčik,NEKA
Piešťany,Peter Jančovič,NEKA
Prašník,Emil Škodáček,SMER-SD
Rakovice,Dušan Daloš,NEKA
Ratnovce,Daniela Sigetová,KDH
Sokolovce,Marián Dóczy,NEKA
